"","species","range","pair","t.min2","t.max2","t.breadth"
"1","bic","widespread","bic-fil",18.9700978538721,47.7199089656566,28.7498111117845
"2","car","widespread","car-par",15.7501564824074,50,34.2498435175926
"3","eas","restricted","ver-eas",15,47.0798098787037,32.0798098787037
"4","fil","restricted","bic-fil",24.1154329590067,46.2635920936869,22.1481591346802
"5","flo","widespread","flo-nor",17.4999392132155,46.8823819579966,29.3824427447811
"6","gut","widespread","gut-lac",31.3221626250842,48.7628028010101,17.4406401759259
"7","lac","restricted","gut-lac",25.7235980489899,46.7221371832492,20.9985391342593
"8","nor","restricted","flo-nor",19.833064560101,46.3175992999158,26.4845347398148
"9","par","restricted","car-par",16.0421567190236,50,33.9578432809764
"10","ver","widespread","ver-eas",15,48.4537996171717,33.4537996171717
