"","species","x","lower","upper","mu","level"
"1","1",9.0355,0,0,0,95
"2","1",9.0355,0,0,0,50
"3","1",9.51714545454545,0,0,0,95
"4","1",9.51714545454545,0,0,0,50
"5","1",9.99879090909091,0,0,0,95
"6","1",9.99879090909091,0,0,0,50
"7","1",10.4804363636364,0,0.000953414409307629,5.46508113197274e-12,95
"8","1",10.4804363636364,0,0.000328102076805956,5.46508113197274e-12,50
"9","1",10.9620818181818,0,0.000953414715716523,2.04763927616663e-10,95
"10","1",10.9620818181818,0,0.000328102312964985,2.04763927616663e-10,50
"11","1",11.4437272727273,0,0.00240329796666684,1.3400645445145e-08,95
"12","1",11.4437272727273,0,0.000827064723716704,1.3400645445145e-08,50
"13","1",11.9253727272727,0,0.0034556675230325,4.99542382561082e-07,95
"14","1",11.9253727272727,0,0.00118953944645048,4.99542382561082e-07,50
"15","1",12.4070181818182,0,0.00861575317678445,1.91950420558182e-06,95
"16","1",12.4070181818182,0,0.0029662303629134,1.91950420558182e-06,50
"17","1",12.8886636363636,0,0.0120184133558757,4.82217555055681e-06,95
"18","1",12.8886636363636,0,0.00413910432465695,4.82217555055681e-06,50
"19","1",13.3703090909091,0,0.0172225684154122,2.53891919196269e-05,95
"20","1",13.3703090909091,0,0.00594351891778434,2.53891919196269e-05,50
"21","1",13.8519545454545,0,0.0253208359524271,5.61279213453567e-05,95
"22","1",13.8519545454545,0,0.00875056656566578,5.61279213453567e-05,50
"23","1",14.3336,0,0.0351413840809761,9.58543431571187e-05,95
"24","1",14.3336,0,0.0121562038112102,9.58543431571187e-05,50
"25","1",14.8152454545455,0,0.0537044766002877,0.000147788266400252,95
"26","1",14.8152454545455,0,0.018578452105425,0.000147788266400252,50
"27","1",15.2968909090909,0,0.0690855520083778,0.000219667105526176,95
"28","1",15.2968909090909,0,0.0239187421250382,0.000219667105526176,50
"29","1",15.7785363636364,0,0.073232341499562,0.000322238836002051,95
"30","1",15.7785363636364,0,0.0254130656676266,0.000322238836002051,50
"31","1",16.2601818181818,0,0.0868585889496819,0.000466625791265533,95
"32","1",16.2601818181818,0,0.0301970157929694,0.000466625791265533,50
"33","1",16.7418272727273,0,0.0945072070622229,0.000663451392914693,95
"34","1",16.7418272727273,0,0.0329582546740616,0.000663451392914693,50
"35","1",17.2234727272727,0,0.0985112276325647,0.000925545068682768,95
"36","1",17.2234727272727,2.81891120080176e-05,0.0345080716734627,0.000925545068682768,50
"37","1",17.7051181818182,0,0.100945077434277,0.00126793142534759,95
"38","1",17.7051181818182,6.04516975826727e-05,0.0355702011824106,0.00126793142534759,50
"39","1",18.1867636363636,0,0.102618406035433,0.00170660555050168,95
"40","1",18.1867636363636,9.3471270211685e-05,0.0364337615787747,0.00170660555050168,50
"41","1",18.6684090909091,0,0.103447770482438,0.00225464343500677,95
"42","1",18.6684090909091,0.000127147681928246,0.0370786134273938,0.00225464343500677,50
"43","1",19.1500545454545,0,0.104463135903047,0.0029237870235651,95
"44","1",19.1500545454545,0.000161388058571619,0.0378669036323462,0.0029237870235651,50
"45","1",19.6317,0,0.105682552115914,0.00372565426433447,95
"46","1",19.6317,0.000196104928473261,0.0388124635654847,0.00372565426433447,50
"47","1",20.1133454545455,0,0.107123931228481,0.00467175670666929,95
"48","1",20.1133454545455,0.000231214867223494,0.0399290074242015,0.00467175670666929,50
"49","1",20.5949909090909,0,0.10880505137943,0.00577350165749672,95
"50","1",20.5949909090909,0.000266637493338521,0.041230134933628,0.00577350165749672,50
"51","1",21.0766363636364,0,0.110743525185733,0.0070421710897449,95
"52","1",21.0766363636364,0.000302294709588072,0.042729306654949,0.0070421710897449,50
"53","1",21.5582818181818,0,0.112956740050982,0.00848888215979592,95
"54","1",21.5582818181818,0.000338110120667521,0.0444397975482138,0.00848888215979592,50
"55","1",22.0399272727273,0,0.115461774257507,0.0101245319650603,95
"56","1",22.0399272727273,0.00037400858024061,0.046374631865161,0.0101245319650603,50
"57","1",22.5215727272727,0,0.118275290682567,0.0119597277836397,95
"58","1",22.5215727272727,0.000504502687645572,0.0485465008199213,0.0119597277836397,50
"59","1",23.0032181818182,0,0.121413408830289,0.0140047032804344,95
"60","1",23.0032181818182,0.000697112426816778,0.0509676635933029,0.0140047032804344,50
"61","1",23.4848636363636,0,0.124891555236878,0.0162692207498537,95
"62","1",23.4848636363636,0.000947621837946902,0.053649831736469,0.0162692207498537,50
"63","1",23.9665090909091,0,0.128724291964236,0.018762459244781,95
"64","1",23.9665090909091,0.00127746652601272,0.0566040367773669,0.018762459244781,50
"65","1",24.4481545454545,0,0.132925122734695,0.0214928883400904,95
"66","1",24.4481545454545,0.00176005004236028,0.0598404807108991,0.0214928883400904,50
"67","1",24.9298,2.47314925484769e-05,0.137506276220686,0.024468127259371,95
"68","1",24.9298,0.00241190778908024,0.0633683690275568,0.024468127259371,50
"69","1",25.4114454545455,5.0955278898239e-05,0.1424784660596,0.0276947891368996,95
"70","1",25.4114454545455,0.0032263546107217,0.0671957259831184,0.0276947891368996,50
"71","1",25.8930909090909,7.67951844932538e-05,0.147850627302804,0.0311783102846247,95
