"","species","ToptCI","B50CI","B50_lowCI","B50_highCI","breadthCI","x_minCI","x_maxCI","max_RGRCI","areaCI"
"1","1","36.48 [32.37, 40.02]","19.09 [14.88, 23.93]","26.07 [21.09, 30.7]","45.16 [42.19, 48.01]","38.33 [35.06, 41.62]","13.26 [10.76, 15.74]","51.59 [49.48, 53.84]","0.19 [0.1, 0.31]","30.08 [16.23, 45.66]"
"2","2","40.27 [37.28, 42.62]","17.46 [14.06, 21.38]","30.26 [26.25, 33.63]","47.72 [45.06, 49.42]","38.87 [35.75, 42.05]","13.33 [10.77, 15.88]","52.2 [50.48, 54.15]","0.37 [0.24, 0.54]","55.14 [35.88, 73.76]"
"3","3","40.15 [37.06, 42.81]","16.36 [13.13, 20.22]","30.83 [26.8, 34.26]","47.19 [44.5, 49.37]","38.6 [35.36, 41.79]","13.43 [10.94, 15.92]","52.02 [49.93, 54.08]","0.42 [0.25, 0.64]","57.99 [35.56, 82.87]"
"4","4","39.13 [31.65, 44]","18.02 [13.48, 23.79]","28.95 [21.45, 35.26]","46.97 [40.72, 50.53]","38.76 [35.18, 42.15]","13.3 [10.74, 15.81]","52.07 [49.39, 54.25]","0.26 [0.1, 0.52]","39.06 [14.91, 69.9]"
"5","5","36.51 [33.96, 38.85]","19.09 [15.69, 23.22]","26.06 [22.4, 29.17]","45.15 [43.21, 47.3]","38.29 [35.14, 41.54]","13.18 [10.75, 15.59]","51.48 [49.38, 53.7]","0.43 [0.27, 0.64]","69.4 [45.29, 94.56]"
"6","6","38.78 [34.29, 42.49]","18.42 [13.8, 23.38]","28.4 [23.36, 33.5]","46.82 [42.61, 49.5]","38.81 [35.34, 42.15]","13.15 [10.67, 15.7]","51.96 [49.6, 54.11]","0.4 [0.21, 0.64]","62.64 [31.24, 97.99]"
"7","7","36.86 [34.15, 39.43]","20.03 [16.02, 24.42]","25.8 [21.88, 29.41]","45.83 [43.72, 48]","38.46 [35.22, 41.84]","13.04 [10.54, 15.55]","51.5 [49.51, 53.8]","0.38 [0.25, 0.55]","63.78 [43.61, 85.8]"
"8","8","36.42 [31.95, 41.04]","17.13 [13.47, 21.92]","27.09 [21.73, 32.51]","44.22 [40.92, 47.95]","37.89 [34.52, 41.32]","13.33 [10.82, 15.79]","51.22 [48.96, 53.58]","0.28 [0.11, 0.51]","40.23 [15.97, 71.03]"
"9","9","37.06 [34.38, 39.65]","18.99 [15.45, 23.26]","26.61 [22.8, 29.94]","45.6 [43.47, 47.91]","38.39 [35.2, 41.67]","13.27 [10.79, 15.73]","51.67 [49.51, 53.86]","0.42 [0.26, 0.63]","66.55 [43.13, 93.21]"
"10","10","35.73 [32.77, 38.56]","17.93 [14.65, 22.01]","26.07 [22.1, 29.51]","44 [41.78, 46.63]","38.09 [34.78, 41.36]","13.33 [10.87, 15.81]","51.42 [49.23, 53.6]","0.33 [0.22, 0.48]","50.4 [34.22, 68.85]"
"11","11","36.22 [32.68, 39.27]","18.38 [14.8, 22.88]","26.23 [21.69, 30.27]","44.62 [41.99, 47.19]","38.19 [34.92, 41.48]","13.28 [10.78, 15.78]","51.47 [49.33, 53.68]","0.16 [0.1, 0.24]","24.92 [16.23, 34.67]"
"12","12","34.34 [31.33, 37.38]","18.94 [15.51, 23.15]","24.31 [20.63, 28.04]","43.25 [40.84, 46.08]","38.12 [34.84, 41.41]","13.15 [10.65, 15.58]","51.27 [49.09, 53.52]","0.25 [0.16, 0.37]","40.43 [26.37, 56.36]"
"13","13","28.34 [25.19, 33.33]","19.5 [16.66, 23.13]","18.97 [16.38, 22.83]","38.47 [34.94, 43.63]","38.32 [35.12, 41.6]","12.85 [10.54, 15.06]","51.17 [48.83, 53.52]","0.2 [0.09, 0.32]","31.69 [14.87, 50.87]"
"14","14","34 [28.98, 39.21]","18.4 [14.53, 23.33]","24.32 [19.05, 30]","42.73 [38.78, 47.22]","38.02 [34.61, 41.41]","13.24 [10.75, 15.74]","51.26 [48.9, 53.65]","0.14 [0.07, 0.24]","21.69 [10.19, 36.36]"
"15","15","35.65 [32.55, 38.62]","17.23 [14.16, 21]","26.37 [22.49, 30.05]","43.59 [41.26, 46.13]","37.9 [34.75, 41.18]","13.29 [10.81, 15.71]","51.18 [49.01, 53.39]","0.26 [0.18, 0.36]","37.68 [25.98, 51.09]"
"16","16","38.92 [33.86, 42.54]","18.11 [13.8, 22.85]","28.71 [23.38, 33.74]","46.82 [42.1, 49.38]","38.75 [35.3, 42.07]","13.24 [10.7, 15.79]","51.99 [49.63, 54.11]","0.38 [0.1, 0.71]","57.39 [14.03, 100.74]"
"17","17","32.79 [29.64, 36.3]","19.29 [16.07, 23.19]","22.81 [19.55, 26.42]","42.1 [39.31, 45.59]","38.14 [34.91, 41.43]","13.14 [10.71, 15.51]","51.28 [49.02, 53.58]","0.34 [0.22, 0.49]","54.54 [35.54, 75.82]"
"18","18","36.21 [31.31, 41.38]","18.07 [13.85, 23.05]","26.41 [20.81, 32.6]","44.47 [40.75, 48.51]","38.12 [34.74, 41.55]","13.27 [10.78, 15.8]","51.39 [49.09, 53.68]","0.12 [0.06, 0.21]","18.9 [8.53, 31.68]"
"19","19","39.33 [33.61, 43.76]","16.4 [11.81, 22.65]","30.07 [22.51, 36.19]","46.48 [42.68, 49.5]","38.19 [34.84, 41.52]","13.3 [10.84, 15.85]","51.5 [49.3, 53.77]","0.16 [0.08, 0.29]","22.09 [10.44, 37.8]"
"20","20","34.84 [31.2, 39.01]","18.09 [14.26, 22.77]","25.19 [20.71, 30.19]","43.28 [40.43, 46.8]","38.1 [34.62, 41.51]","13.1 [10.63, 15.71]","51.2 [48.83, 53.55]","0.29 [0.15, 0.49]","44.62 [23.08, 71.12]"
"21","21","37.25 [34.67, 39.76]","19.55 [15.65, 23.66]","26.45 [22.98, 29.75]","46 [43.56, 48.33]","38.79 [35.59, 42.01]","13.11 [10.6, 15.57]","51.9 [49.82, 54]","0.33 [0.23, 0.47]","54.37 [38.01, 71.91]"
"22","22","32.44 [29.57, 35.45]","17.7 [15.05, 21.05]","23.29 [20.02, 26.45]","40.99 [38.6, 43.97]","37.59 [34.2, 41]","13.26 [10.79, 15.74]","50.84 [48.5, 53.22]","0.28 [0.18, 0.39]","41.52 [28.29, 56.36]"
"23","23","41.13 [39.02, 43.18]","14.56 [11.87, 18.18]","32.69 [29.32, 35.3]","47.26 [45.54, 49.12]","37.77 [34.56, 41.16]","13.45 [10.92, 15.98]","51.23 [49.31, 53.5]","0.33 [0.19, 0.51]","41.33 [25.48, 59.79]"
