"","species","ToptCI","B50CI","B50_lowCI","B50_highCI","breadthCI","x_minCI","x_maxCI","max_RGRCI","areaCI"
"1","1","32.08 [29.29, 35.26]","31.45 [27.44, 34.87]","15.91 [13.74, 18.64]","47.35 [43.99, 50.67]","49.91 [46.43, 53.38]","6.46 [4.13, 8.75]","56.37 [54.01, 58.75]","0.08 [0.06, 0.11]","76.05 [51.72, 94.23]"
"2","2","38 [34.97, 41.25]","30.77 [25.57, 34.96]","20.85 [16.94, 25.66]","51.62 [49.36, 53.75]","49.8 [46.37, 53.15]","7.18 [4.78, 9.58]","56.98 [54.84, 59.18]","0.08 [0.05, 0.1]","68.55 [46.91, 88.27]"
"3","3","34.83 [31.21, 38.66]","31.44 [26.31, 35.16]","18.04 [14.98, 22.67]","49.47 [45.85, 52.46]","49.69 [46.22, 53.17]","6.9 [4.54, 9.2]","56.59 [54.35, 58.88]","0.07 [0.04, 0.1]","65.65 [35.99, 92.64]"
"4","4","34.18 [30.94, 37.59]","30.69 [25.9, 34.54]","17.92 [15.05, 21.82]","48.61 [45.13, 51.77]","49.38 [46.02, 52.81]","6.93 [4.57, 9.21]","56.3 [53.98, 58.68]","0.08 [0.05, 0.1]","69.28 [45.72, 91.16]"
"5","5","37.53 [33.25, 42.71]","29.76 [23.07, 34.58]","21.07 [16.34, 28.35]","50.83 [47.46, 53.67]","49.53 [46.06, 52.98]","7.18 [4.8, 9.54]","56.71 [54.48, 58.98]","0.08 [0.04, 0.12]","69.89 [28.18, 103.79]"
"6","6","33.04 [29.53, 36.51]","31.69 [27.68, 35.13]","16.52 [13.98, 19.77]","48.21 [44.46, 51.5]","49.92 [46.55, 53.36]","6.57 [4.31, 8.76]","56.48 [54.2, 58.78]","0.07 [0.05, 0.1]","65.8 [41.34, 91.11]"
"7","7","35.15 [32.23, 38.06]","31.97 [27.47, 35.45]","18.01 [15.37, 21.66]","49.98 [46.97, 52.46]","49.77 [46.32, 53.24]","6.98 [4.61, 9.33]","56.75 [54.6, 58.94]","0.08 [0.06, 0.1]","73.15 [49.02, 91.18]"
"8","8","35.24 [32.5, 38.02]","31.17 [25.99, 34.98]","18.47 [15.71, 22.24]","49.64 [46.59, 52.3]","49.42 [45.98, 52.95]","7.02 [4.6, 9.3]","56.44 [54.12, 58.78]","0.07 [0.06, 0.09]","65.84 [47.87, 79.5]"
"9","9","37.01 [34.89, 39.36]","32.13 [27.53, 35.62]","19.34 [16.54, 23.03]","51.46 [49.4, 53.37]","49.97 [46.55, 53.36]","7.1 [4.7, 9.46]","57.07 [54.97, 59.22]","0.08 [0.07, 0.09]","73.53 [59.12, 84.26]"
"10","10","36.46 [33.45, 39.96]","31.27 [25.71, 35.27]","19.37 [15.95, 24.42]","50.63 [47.96, 53.03]","49.73 [46.27, 53.21]","6.99 [4.59, 9.34]","56.72 [54.52, 59]","0.07 [0.05, 0.09]","66.72 [44.18, 84.33]"
"11","11","37.28 [34.55, 40.02]","27.27 [21.79, 32.76]","22.25 [17.9, 26.38]","49.52 [46.67, 52.42]","48.91 [45.36, 52.43]","7.35 [4.88, 9.77]","56.26 [53.97, 58.58]","0.07 [0.06, 0.09]","56.86 [42.28, 69.24]"
"12","12","33.79 [31.63, 36.42]","28.97 [24.1, 33.03]","18.58 [15.51, 22.63]","47.55 [45.49, 50.02]","48.98 [45.45, 52.46]","7.28 [4.88, 9.67]","56.26 [53.89, 58.62]","0.08 [0.07, 0.08]","63.82 [53.82, 72.02]"
"13","13","34.3 [31.16, 37.42]","30.84 [26.04, 34.64]","17.93 [15.13, 21.61]","48.77 [45.49, 51.81]","49.4 [45.97, 52.85]","6.94 [4.55, 9.24]","56.34 [54.04, 58.67]","0.08 [0.05, 0.1]","70.4 [47.94, 92.38]"
"14","14","36.21 [34.14, 38.48]","33.04 [28.97, 36.16]","18.24 [15.82, 21.55]","51.28 [49.1, 53.23]","50.26 [46.79, 53.68]","6.9 [4.52, 9.26]","57.16 [55.01, 59.29]","0.08 [0.07, 0.1]","80.45 [62.77, 93.56]"
"15","15","35.39 [32.55, 38.29]","32.16 [27.49, 35.66]","18.07 [15.46, 21.83]","50.23 [47.21, 52.73]","49.87 [46.42, 53.4]","6.89 [4.51, 9.2]","56.76 [54.55, 59.06]","0.08 [0.05, 0.1]","72.28 [47.68, 90.11]"
"16","16","31.94 [29.25, 35.11]","31.53 [27.52, 34.91]","15.75 [13.57, 18.6]","47.28 [44.05, 50.49]","50 [46.47, 53.48]","6.36 [3.99, 8.65]","56.36 [53.98, 58.76]","0.08 [0.06, 0.1]","75.93 [54.37, 91.48]"
"17","17","34.6 [31.26, 38.03]","30.71 [25.63, 34.63]","18.24 [15.19, 22.38]","48.95 [45.51, 52.06]","49.39 [45.97, 52.85]","6.99 [4.64, 9.36]","56.38 [54.07, 58.76]","0.08 [0.05, 0.1]","67.8 [42.77, 92.16]"
"18","18","36.6 [32.79, 40.32]","27.86 [22.08, 33.4]","21.37 [16.75, 26.23]","49.23 [45.71, 52.6]","48.99 [45.5, 52.5]","7.27 [4.81, 9.65]","56.26 [53.91, 58.61]","0.06 [0.04, 0.07]","46.07 [31.23, 60.6]"
"19","19","33.45 [30.11, 37.02]","28.82 [24.03, 33.24]","18.35 [14.95, 22.57]","47.17 [43.91, 50.73]","49.13 [45.81, 52.61]","7.04 [4.71, 9.35]","56.17 [53.79, 58.5]","0.07 [0.05, 0.09]","60.01 [42.75, 77.51]"
"20","20","39.31 [35.96, 42.71]","28.9 [23.31, 34.01]","22.92 [18, 28.19]","51.82 [49.49, 54.06]","49.59 [46.2, 53]","7.23 [4.86, 9.62]","56.82 [54.62, 59.05]","0.07 [0.05, 0.09]","58.11 [38.63, 76.01]"
"21","21","34.41 [31.26, 37.59]","28.59 [23.54, 33.54]","19.24 [15.74, 23.04]","47.83 [44.6, 51.33]","48.94 [45.42, 52.51]","7.25 [4.8, 9.66]","56.2 [53.81, 58.56]","0.08 [0.06, 0.1]","67.64 [47.6, 86.74]"
"22","22","34.49 [32.05, 37.2]","31.31 [26.43, 34.98]","17.84 [15.24, 21.43]","49.15 [46.38, 51.82]","49.43 [45.93, 53.01]","7 [4.61, 9.34]","56.43 [54.13, 58.78]","0.08 [0.06, 0.09]","71.16 [54.52, 83.36]"
