"","species","ToptCI","B50CI","B50_lowCI","B50_highCI","breadthCI","x_minCI","x_maxCI","max_RGRCI","areaCI"
"1","1","29.83 [26.47, 33.39]","26.38 [21.74, 31.07]","16.25 [12.9, 20.09]","42.63 [39.3, 46.4]","46.76 [43.29, 50.07]","5.88 [3.64, 8.18]","52.64 [50.25, 55.08]","0.07 [0.05, 0.09]","64.59 [42.71, 85.22]"
"2","2","32.77 [29.83, 35.61]","27.06 [22.48, 31.57]","18.22 [14.73, 21.84]","45.28 [42.57, 48.16]","46.9 [43.45, 50.28]","5.85 [3.58, 8.12]","52.75 [50.4, 55.21]","0.09 [0.07, 0.12]","90.83 [66.09, 112.3]"
"3","3","30.98 [27.54, 34.68]","27.48 [22.74, 32.01]","16.57 [13.3, 20.47]","44.04 [40.48, 47.84]","46.94 [43.61, 50.38]","5.71 [3.44, 7.94]","52.65 [50.2, 55.11]","0.09 [0.06, 0.11]","84.68 [56.7, 110.37]"
"4","4","33.67 [30.13, 37.05]","26.48 [21.17, 31.62]","19.28 [14.8, 23.93]","45.77 [42.91, 48.65]","46.88 [43.55, 50.23]","5.94 [3.67, 8.27]","52.83 [50.47, 55.23]","0.1 [0.07, 0.14]","95.7 [61.86, 128.56]"
"5","5","32.72 [29.03, 36.46]","24.29 [19.66, 30.05]","19.69 [14.93, 23.88]","43.98 [40.76, 47.77]","46.54 [43, 49.97]","5.99 [3.64, 8.35]","52.53 [50.11, 54.97]","0.09 [0.06, 0.12]","76.29 [47.84, 106.95]"
"6","6","29.69 [25.84, 33.84]","26.55 [21.91, 31.03]","16.05 [12.51, 20.45]","42.59 [38.91, 46.63]","46.81 [43.39, 50.26]","5.84 [3.58, 8.13]","52.65 [50.23, 55.09]","0.08 [0.05, 0.11]","75.05 [45.32, 105.6]"
"7","7","28.75 [25.75, 32.26]","26.91 [22.76, 31.15]","15.1 [12.42, 18.33]","42.01 [38.69, 45.96]","46.91 [43.55, 50.29]","5.71 [3.5, 7.95]","52.62 [50.16, 55.07]","0.09 [0.06, 0.11]","84.46 [59.69, 106.45]"
"8","8","28.87 [25.06, 32.88]","25.54 [21.39, 30.13]","15.89 [12.38, 19.96]","41.42 [37.78, 45.67]","46.64 [43.25, 50.05]","5.92 [3.63, 8.17]","52.56 [50.16, 55]","0.08 [0.05, 0.11]","73.67 [45.84, 104.26]"
"9","9","31.17 [27.76, 34.52]","28.49 [23.95, 32.38]","16.21 [13.19, 20.08]","44.7 [41.34, 47.92]","47.14 [43.83, 50.45]","5.71 [3.5, 7.91]","52.85 [50.5, 55.23]","0.08 [0.06, 0.11]","83.18 [54.36, 110.8]"
"10","10","30.84 [28.02, 33.71]","28.95 [24.68, 32.58]","15.7 [13.06, 18.8]","44.66 [41.66, 47.55]","47.19 [43.81, 50.5]","5.65 [3.42, 7.83]","52.84 [50.48, 55.22]","0.08 [0.06, 0.1]","84.64 [61.7, 105.36]"
