"","species","ToptCI","B50CI","B50_lowCI","B50_highCI","breadthCI","x_minCI","x_maxCI","max_RGRCI","areaCI"
"1","1","39.22 [36.67, 41.86]","15.48 [12.78, 18.41]","30.38 [27.42, 33.41]","45.86 [43.43, 48.05]","36.28 [32.98, 39.65]","14.09 [11.48, 16.71]","50.38 [48.31, 52.55]","0.12 [0.09, 0.17]","30.14 [22.49, 39.36]"
"2","2","33.23 [29.04, 38.67]","17.45 [14.05, 21.53]","24.12 [19.76, 29.66]","41.57 [38.11, 46.21]","36.02 [32.43, 39.69]","14.09 [11.45, 16.69]","50.11 [47.7, 52.59]","0.07 [0.04, 0.12]","19.62 [12.16, 30.79]"
"3","3","35.09 [29.59, 39.67]","18.96 [14.57, 23.55]","24.94 [19.76, 30.52]","43.89 [39.17, 47.32]","36.57 [33.15, 40.09]","14.05 [11.44, 16.67]","50.63 [48.36, 52.98]","0.07 [0.04, 0.14]","21.39 [10.24, 35.87]"
"4","4","35.74 [31.8, 39.5]","19.79 [15.26, 24.35]","25 [20.65, 30.03]","44.79 [41.52, 47.6]","36.79 [33.38, 40.35]","13.93 [11.33, 16.57]","50.73 [48.54, 53.03]","0.08 [0.05, 0.13]","24.88 [13.85, 37.32]"
"5","5","37.27 [34.72, 39.88]","18.39 [14.82, 22.39]","27.08 [23.67, 30.27]","45.47 [43.16, 47.9]","36.95 [33.54, 40.36]","14.01 [11.43, 16.58]","50.96 [48.59, 53.18]","0.22 [0.15, 0.31]","62.78 [42, 84.5]"
"6","6","38.43 [36.15, 40.69]","18.13 [14.48, 22.02]","28.13 [24.79, 31.34]","46.26 [44.29, 48.24]","36.82 [33.47, 40.24]","13.87 [11.18, 16.52]","50.7 [48.71, 52.96]","0.2 [0.14, 0.3]","56.81 [39.35, 75.98]"
"7","7","36.26 [32.71, 39.59]","17.55 [13.79, 22.13]","26.7 [22.3, 30.71]","44.26 [41.57, 47.42]","36.6 [33.13, 40.21]","14.1 [11.42, 16.68]","50.7 [48.35, 53.12]","0.2 [0.13, 0.29]","53.31 [34.45, 74.71]"
"8","8","36.94 [31.98, 41.12]","18.69 [14.12, 23.63]","26.62 [21.25, 32.04]","45.31 [41.54, 48.32]","36.68 [33.26, 40.17]","14.06 [11.44, 16.67]","50.75 [48.57, 53.04]","0.09 [0.04, 0.16]","25.02 [10.3, 42.32]"
"9","9","38.22 [34.04, 42.07]","17.77 [13.27, 23.01]","28.22 [22.56, 33.46]","45.99 [43.16, 48.61]","36.69 [33.29, 40.27]","14.05 [11.37, 16.74]","50.73 [48.62, 52.99]","0.15 [0.06, 0.27]","39.88 [15.5, 69.55]"
"10","10","37.78 [34.48, 40.82]","18.21 [13.86, 22.9]","27.57 [22.97, 32.08]","45.78 [43.55, 47.96]","36.76 [33.42, 40.16]","13.91 [11.37, 16.5]","50.67 [48.62, 52.9]","0.18 [0.11, 0.28]","50.97 [31.41, 73.48]"
"11","11","35.82 [32.24, 39.16]","16.42 [13.09, 20.95]","26.92 [22.17, 30.69]","43.34 [40.82, 46.35]","36.02 [32.48, 39.62]","14.18 [11.46, 16.86]","50.19 [47.89, 52.56]","0.23 [0.12, 0.38]","59.39 [33.44, 89.58]"
"12","12","36.14 [32.01, 40.37]","16.42 [12.84, 21.27]","27.21 [22.2, 31.74]","43.62 [40.51, 47.56]","36.16 [32.43, 39.88]","14.15 [11.5, 16.79]","50.32 [47.82, 52.87]","0.15 [0.09, 0.24]","39.25 [22.38, 60.32]"
"13","13","37.87 [35.26, 40.65]","17.6 [14.05, 21.79]","28.01 [24.31, 31.56]","45.61 [43.41, 47.93]","36.67 [33.19, 40.14]","14.06 [11.43, 16.75]","50.73 [48.61, 52.99]","0.19 [0.11, 0.3]","50.32 [29.7, 75.44]"
