"","species","ToptCI","B50CI","B50_lowCI","B50_highCI","breadthCI","x_minCI","x_maxCI","max_RGRCI","areaCI"
"1","1","37.62 [34.53, 40.41]","19.71 [15.84, 24.14]","26.49 [22.19, 30.26]","46.2 [44.02, 48.42]","39.15 [35.86, 42.57]","11.94 [9.46, 14.39]","51.09 [49.04, 53.42]","0.16 [0.1, 0.25]","40.96 [24.85, 57.85]"
"2","2","34.93 [28.97, 41.35]","21.22 [14.73, 26.84]","23.48 [17.38, 32.15]","44.71 [40.06, 48.51]","39.55 [36.13, 42.97]","11.59 [9.15, 14.1]","51.13 [48.9, 53.46]","0.14 [0.04, 0.28]","38.36 [10.58, 80.59]"
"3","3","31.35 [27.45, 35.51]","23.63 [19.22, 27.36]","19.25 [16.49, 23.6]","42.88 [38.6, 46.57]","40.01 [36.89, 43.26]","11.18 [8.91, 13.37]","51.18 [48.99, 53.51]","0.16 [0.09, 0.25]","47.37 [24.61, 70.89]"
"4","4","34.6 [31.21, 37.82]","21.63 [17.09, 26.04]","22.95 [18.95, 27.36]","44.57 [41.93, 47.11]","39.28 [36.03, 42.71]","11.8 [9.32, 14.2]","51.08 [48.96, 53.42]","0.23 [0.12, 0.36]","62.84 [31.83, 90.63]"
"5","5","31.11 [26.95, 36.44]","20.21 [16.77, 24.45]","20.8 [16.98, 25.83]","41.01 [37.06, 45.71]","38.89 [35.49, 42.36]","11.86 [9.41, 14.29]","50.75 [48.41, 53.15]","0.2 [0.11, 0.32]","51.62 [27.62, 78.43]"
"6","6","33.45 [29.3, 37.41]","22.11 [17.65, 26.39]","21.76 [17.93, 26.38]","43.87 [40.07, 47.12]","39.36 [36.1, 42.81]","11.76 [9.28, 14.13]","51.12 [48.9, 53.44]","0.15 [0.08, 0.24]","42.62 [23.11, 64.07]"
"7","7","28.97 [26.21, 32.51]","21.89 [18.72, 25.28]","18.18 [15.8, 21.44]","40.07 [37.03, 43.71]","39.69 [36.61, 42.91]","11.18 [8.97, 13.17]","50.87 [48.52, 53.26]","0.18 [0.11, 0.26]","48.97 [30.54, 68.65]"
"8","8","36.79 [31.8, 41.05]","18.11 [14.25, 23.34]","26.75 [20.62, 31.74]","44.85 [41.25, 48.15]","38.83 [35.42, 42.19]","12.02 [9.59, 14.42]","50.85 [48.57, 53.21]","0.13 [0.07, 0.2]","29.25 [17.04, 43.71]"
"9","9","30.96 [27.64, 34.85]","21.63 [18, 25.72]","19.99 [17, 23.59]","41.62 [38.3, 45.62]","39.14 [35.87, 42.54]","11.8 [9.37, 14.12]","50.94 [48.68, 53.33]","0.16 [0.09, 0.24]","42.2 [23.75, 61.83]"
"10","10","34.04 [31.08, 36.98]","22.6 [18.65, 26.39]","21.98 [18.72, 25.57]","44.58 [41.99, 47.08]","39.29 [36.05, 42.72]","11.89 [9.43, 14.32]","51.18 [49.05, 53.48]","0.2 [0.13, 0.29]","56.93 [38.07, 76.34]"
"11","11","27.98 [25.4, 31.65]","21.61 [18.6, 24.84]","17.5 [15.33, 20.58]","39.11 [36.07, 42.96]","39.78 [36.64, 43.04]","11.06 [8.91, 13.09]","50.84 [48.49, 53.3]","0.18 [0.1, 0.28]","49.61 [28.64, 72.15]"
"12","12","31.1 [26.93, 36.23]","21.33 [17.57, 25.5]","20.24 [16.82, 25.06]","41.57 [37.38, 46.18]","39.12 [35.8, 42.58]","11.82 [9.33, 14.11]","50.94 [48.61, 53.35]","0.13 [0.07, 0.22]","35.9 [18.51, 56.61]"
"13","13","36.64 [32.08, 40.4]","22.97 [17.31, 27.49]","23.91 [19.48, 29.06]","46.88 [42.33, 49.49]","40.2 [36.79, 43.45]","11.81 [9.41, 14.21]","52.02 [49.48, 54.09]","0.18 [0.1, 0.28]","53.08 [26.14, 78.76]"
"14","14","36.22 [31.82, 40.02]","17.81 [14.22, 22.71]","26.42 [20.88, 30.61]","44.23 [41.14, 47.45]","38.66 [35.23, 42.09]","12.04 [9.6, 14.44]","50.7 [48.38, 53.04]","0.14 [0.08, 0.21]","32.63 [19.87, 46.8]"
"15","15","31.77 [28.31, 35.72]","22.6 [18.47, 26.42]","20.13 [17.06, 24.23]","42.73 [39.22, 46.33]","39.45 [36.22, 42.8]","11.57 [9.2, 13.89]","51.02 [48.79, 53.35]","0.16 [0.11, 0.23]","45.32 [29.31, 62.04]"
"16","16","32.9 [29.11, 37.03]","21.78 [17.65, 26]","21.49 [17.94, 25.91]","43.27 [39.63, 46.96]","39.26 [35.92, 42.7]","11.82 [9.36, 14.19]","51.08 [48.74, 53.47]","0.13 [0.08, 0.2]","36.52 [21.72, 52.44]"
"17","17","31.86 [28.47, 36.21]","21.16 [17.22, 25.5]","20.94 [17.51, 25.53]","42.1 [38.96, 46.05]","39.11 [35.71, 42.49]","11.77 [9.34, 14.18]","50.88 [48.57, 53.18]","0.18 [0.09, 0.28]","48.74 [24.62, 71.28]"
"18","18","35.9 [31.82, 40.01]","21.66 [16.41, 26.34]","23.99 [19.31, 29.7]","45.64 [42.49, 48.38]","39.41 [36.26, 42.74]","11.78 [9.4, 14.12]","51.2 [49.05, 53.54]","0.14 [0.07, 0.23]","37.92 [17.75, 59.19]"
