"","species","ToptCI","B50CI","B50_lowCI","B50_highCI","breadthCI","x_minCI","x_maxCI","max_RGRCI","areaCI"
"1","1","39.97 [36.26, 43.64]","14.7 [10.84, 19.8]","31.67 [26.55, 36.28]","46.37 [43.37, 49.51]","36.58 [32.86, 40.3]","14.8 [12.04, 17.48]","51.39 [48.83, 53.83]","0.18 [0.1, 0.3]","14.8 [7.62, 23.15]"
"2","2","39.36 [36.79, 41.82]","13.95 [10.9, 17.79]","31.55 [27.62, 34.75]","45.51 [43.58, 47.75]","36.17 [32.51, 39.75]","14.85 [12.06, 17.63]","51.02 [48.68, 53.35]","0.49 [0.3, 0.77]","38.51 [24.85, 55.63]"
"3","3","41.08 [37.88, 44.11]","13.44 [10.35, 17.42]","33.41 [29.25, 37.07]","46.85 [43.92, 49.41]","36.52 [32.6, 40.19]","14.88 [12.06, 17.62]","51.4 [48.63, 53.67]","0.53 [0.3, 0.87]","39.88 [22.17, 62.89]"
"4","4","41.44 [40.12, 42.92]","11.9 [9.97, 14.18]","34.63 [32.54, 36.43]","46.53 [45.3, 47.93]","35.78 [32.48, 39.08]","14.95 [12.19, 17.66]","50.73 [48.8, 52.68]","1.2 [0.86, 1.61]","81.01 [61.26, 102.86]"
"5","5","39.9 [37.5, 42.38]","15.11 [11.46, 19.16]","31.32 [27.58, 35.06]","46.43 [44.61, 48.44]","36.56 [33.08, 40.08]","14.64 [11.85, 17.37]","51.19 [49.03, 53.45]","0.68 [0.41, 1.04]","57.27 [34.46, 83.08]"
"6","6","40.46 [37.43, 43.31]","13.07 [10.08, 17]","33.06 [28.74, 36.52]","46.13 [43.86, 48.69]","36.04 [32.38, 39.69]","14.92 [12.17, 17.67]","50.96 [48.62, 53.33]","0.25 [0.14, 0.39]","17.98 [10.29, 27.68]"
"7","7","40.32 [33.62, 45.7]","14.64 [10.3, 20.73]","32.02 [24.03, 38.5]","46.66 [41.58, 50.86]","36.68 [32.74, 40.46]","14.83 [12.11, 17.59]","51.5 [48.69, 54.07]","0.15 [0.03, 0.31]","11.95 [2.52, 25.15]"
"8","8","41.45 [37.56, 44.78]","13.67 [10.11, 18.23]","33.6 [28.67, 38.03]","47.28 [43.91, 49.95]","36.67 [32.87, 40.23]","14.87 [12.12, 17.61]","51.54 [48.87, 53.8]","0.37 [0.18, 0.65]","28.25 [13.29, 47.44]"
"9","9","40.81 [39.39, 42.38]","12.41 [10.07, 14.99]","33.78 [31.49, 35.75]","46.19 [44.76, 47.78]","35.97 [32.45, 39.51]","15.05 [12.32, 17.81]","51.02 [48.76, 53.12]","1.11 [0.78, 1.53]","78.05 [57.96, 100.57]"
"10","10","43.52 [40.65, 46.05]","12.76 [9.69, 16.7]","36 [31.78, 39.54]","48.76 [46.32, 50.76]","36.92 [33.47, 40.42]","14.95 [12.19, 17.72]","51.87 [49.8, 53.93]","0.5 [0.25, 0.88]","36.28 [17.37, 61.37]"
"11","11","40.1 [36.83, 43.48]","13.51 [10.27, 17.8]","32.48 [27.94, 36.42]","45.99 [43.4, 49]","36.14 [32.34, 39.95]","14.87 [12.05, 17.69]","51.01 [48.44, 53.49]","0.14 [0.08, 0.22]","10.87 [6.17, 16.59]"
