"","species","ToptCI","B50CI","B50_lowCI","B50_highCI","breadthCI","x_minCI","x_maxCI","max_RGRCI","areaCI"
"1","1","39.05 [35.17, 42.02]","16.14 [12.6, 21.23]","29.81 [24.18, 33.67]","45.95 [43.49, 48.3]","38.27 [35.01, 41.55]","12.16 [9.67, 14.66]","50.43 [48.4, 52.58]","0.09 [0.05, 0.15]","31.04 [18.07, 46.05]"
"2","2","32.2 [28.49, 37.03]","21.49 [16.6, 26.25]","20.99 [17.4, 26.83]","42.48 [39.09, 46.38]","38.93 [35.65, 42.14]","11.47 [9.16, 13.74]","50.4 [48.13, 52.69]","0.14 [0.08, 0.21]","61.62 [31.28, 92.31]"
"3","3","30.61 [25.64, 38.62]","19.3 [15.9, 23.6]","20.8 [16.36, 28.11]","40.1 [35.46, 46.81]","38.07 [34.5, 41.6]","12.05 [9.52, 14.58]","50.12 [47.79, 52.48]","0.11 [0.06, 0.21]","44.55 [22.63, 79.99]"
"4","4","32.88 [30.04, 35.9]","24.62 [20.52, 27.68]","19.85 [17.36, 23.55]","44.47 [41.67, 46.83]","39.65 [36.68, 42.66]","11.08 [8.93, 13.17]","50.73 [48.8, 52.9]","0.1 [0.07, 0.14]","50.78 [34.51, 67.02]"
"5","5","35.18 [32.35, 37.89]","21.94 [18.06, 25.69]","23.17 [19.77, 26.77]","45.12 [42.82, 47.27]","38.75 [35.7, 41.95]","11.92 [9.46, 14.28]","50.68 [48.75, 52.8]","0.11 [0.07, 0.15]","46.66 [33.25, 60.91]"
"6","6","37.43 [34.25, 40.9]","18.37 [14.68, 22.56]","27.07 [22.83, 31.53]","45.44 [43.04, 47.98]","38.45 [35.32, 41.76]","12.01 [9.49, 14.49]","50.46 [48.48, 52.59]","0.13 [0.08, 0.19]","48.95 [27.7, 68.79]"
"7","7","33.81 [30.55, 37.1]","22.94 [18.85, 26.59]","21.56 [18.41, 25.48]","44.5 [41.49, 47.17]","38.97 [35.85, 42.17]","11.84 [9.42, 14.18]","50.8 [48.78, 52.97]","0.1 [0.06, 0.14]","44.85 [28.68, 61.69]"
"8","8","39.4 [37.09, 41.34]","16.42 [13.46, 20.28]","29.9 [26.05, 32.72]","46.32 [44.8, 47.98]","38.26 [35.19, 41.42]","12.08 [9.6, 14.55]","50.34 [48.46, 52.39]","0.11 [0.08, 0.14]","37.78 [27.24, 47.68]"
"9","9","33.83 [29.43, 37.75]","21.11 [17.04, 25.23]","22.54 [18.39, 27.05]","43.65 [39.82, 46.85]","38.7 [35.54, 41.99]","11.86 [9.42, 14.23]","50.56 [48.47, 52.77]","0.11 [0.06, 0.16]","45.99 [26.49, 66.41]"
"10","10","32.54 [29.18, 35.86]","22.97 [19.03, 26.53]","20.53 [17.69, 24.04]","43.5 [40.09, 46.48]","38.91 [35.77, 42.09]","11.78 [9.33, 14.09]","50.7 [48.6, 52.82]","0.08 [0.06, 0.12]","38.77 [25.48, 52.76]"
"11","11","32.79 [28.7, 37.62]","21.98 [16.62, 26.32]","21.23 [17.35, 27.54]","43.21 [39.62, 46.64]","39.08 [35.82, 42.29]","11.47 [9.16, 13.78]","50.55 [48.4, 52.75]","0.12 [0.07, 0.18]","53.3 [29.5, 78.13]"
"12","12","32.01 [27.66, 37.47]","22.22 [16.77, 26.61]","20.47 [16.72, 27.18]","42.69 [38.41, 46.5]","39.16 [35.91, 42.45]","11.4 [9.05, 13.74]","50.57 [48.42, 52.78]","0.11 [0.05, 0.19]","50.67 [19.46, 82.82]"
"13","13","34.98 [31.86, 38.31]","22.25 [17.74, 26.21]","22.85 [19.24, 27.28]","45.1 [42.43, 47.47]","38.83 [35.72, 42.08]","11.89 [9.43, 14.26]","50.73 [48.79, 52.87]","0.1 [0.06, 0.15]","43.54 [25.06, 61.67]"
"14","14","31.96 [28.85, 35.11]","18.48 [15.52, 22.47]","22.34 [18.71, 25.69]","40.82 [38.29, 44]","37.86 [34.51, 41.17]","12.11 [9.69, 14.54]","49.97 [47.74, 52.3]","0.14 [0.09, 0.19]","51.53 [35.41, 69.85]"
"15","15","31.86 [27.65, 37.59]","23.18 [17.09, 27.27]","19.83 [16.36, 27.44]","43.01 [38.9, 46.72]","39.52 [36.23, 42.72]","11.11 [8.79, 13.55]","50.63 [48.48, 52.8]","0.08 [0.04, 0.13]","38.46 [17.48, 59.24]"
"16","16","33.33 [30.36, 36.19]","21.72 [18.21, 25.29]","21.82 [18.88, 24.9]","43.54 [40.77, 46.16]","38.63 [35.43, 41.93]","11.95 [9.48, 14.34]","50.59 [48.55, 52.73]","0.12 [0.09, 0.16]","53.33 [38.21, 68.01]"
"17","17","33.6 [29.12, 38.61]","22.1 [16.58, 26.66]","21.81 [17.59, 28.29]","43.91 [40.09, 47.33]","39.06 [35.82, 42.29]","11.52 [9.18, 13.92]","50.58 [48.47, 52.76]","0.08 [0.04, 0.14]","37.29 [17.53, 59.22]"
"18","18","34.01 [31.04, 37.11]","22.45 [18.35, 26.19]","21.96 [18.8, 25.61]","44.4 [41.61, 46.99]","38.78 [35.6, 42.02]","11.82 [9.41, 14.19]","50.6 [48.56, 52.75]","0.1 [0.07, 0.14]","45.14 [31.01, 60.55]"
