"","species","ToptCI","B50CI","B50_lowCI","B50_highCI","breadthCI","x_minCI","x_maxCI","max_RGRCI","areaCI"
"1","1","38.22 [34.05, 41.96]","27 [21.24, 32.5]","23.14 [17.75, 28.63]","50.14 [47.01, 52.93]","48.63 [45.41, 51.97]","7.5 [5.13, 9.81]","56.13 [54.05, 58.36]","0.11 [0.07, 0.15]","52.05 [32.42, 72.78]"
"2","2","41.28 [35.64, 45.82]","23.52 [17.5, 30.98]","27.72 [19.62, 34.44]","51.23 [47.8, 54.19]","48.55 [45.3, 51.87]","7.54 [5.16, 9.86]","56.09 [53.96, 58.3]","0.08 [0.04, 0.13]","33.18 [16.24, 55.51]"
"3","3","36.85 [32.88, 40.66]","28.59 [23.06, 33.35]","21.15 [16.7, 26.24]","49.73 [46.43, 52.57]","48.7 [45.44, 52.04]","7.45 [5.08, 9.76]","56.16 [54.05, 58.34]","0.11 [0.07, 0.16]","58.4 [36.23, 81.31]"
"4","4","38.94 [34.5, 42.83]","25.72 [20.1, 31.62]","24.47 [18.51, 29.97]","50.19 [47, 53.07]","48.56 [45.35, 51.82]","7.55 [5.24, 9.84]","56.1 [54, 58.26]","0.11 [0.06, 0.16]","50.71 [27.83, 75.46]"
"5","5","33.3 [30.18, 36.55]","25.9 [21.56, 30.9]","19.75 [15.89, 23.68]","45.64 [42.97, 48.96]","48.13 [44.78, 51.49]","7.53 [5.14, 9.84]","55.66 [53.42, 57.94]","0.13 [0.1, 0.16]","62.35 [45.57, 77.23]"
"6","6","36.59 [33.77, 39.22]","24.09 [19.74, 29.67]","23.44 [19.26, 27.06]","47.54 [45.03, 50.58]","48.05 [44.7, 51.41]","7.55 [5.21, 9.87]","55.59 [53.33, 57.86]","0.12 [0.09, 0.16]","54.59 [39, 70.29]"
"7","7","37.5 [32.91, 42.61]","27.93 [20.28, 33.6]","22.04 [16.43, 29.81]","49.97 [46.57, 52.95]","48.78 [45.54, 52.14]","7.31 [4.98, 9.62]","56.09 [53.94, 58.33]","0.09 [0.05, 0.14]","46.31 [21.71, 74.92]"
"8","8","34.37 [30.19, 39.01]","28.13 [21.87, 33.17]","19.43 [15.2, 25.74]","47.56 [43.97, 51.15]","48.59 [45.3, 51.96]","7.22 [4.91, 9.52]","55.81 [53.57, 58.13]","0.1 [0.06, 0.14]","49.88 [29.04, 72.53]"
"9","9","34.11 [31.3, 36.84]","24.03 [20.16, 29.04]","21.41 [17.35, 24.88]","45.44 [43.22, 48.3]","47.85 [44.57, 51.22]","7.67 [5.3, 10.02]","55.52 [53.29, 57.77]","0.13 [0.1, 0.16]","58.87 [45.66, 71.86]"
"10","10","35.63 [31.78, 39.07]","22.6 [18.43, 28.51]","23.46 [18.1, 27.79]","46.06 [43.25, 49.49]","47.74 [44.27, 51.19]","7.66 [5.27, 10.02]","55.4 [53.15, 57.69]","0.14 [0.09, 0.19]","56.85 [36.44, 79.25]"
"11","11","32.84 [29.83, 35.98]","28.8 [24.34, 32.86]","17.89 [15.05, 21.23]","46.69 [43.45, 50.02]","48.6 [45.32, 51.94]","7.32 [5.02, 9.57]","55.93 [53.74, 58.19]","0.11 [0.08, 0.14]","58.39 [43.44, 74.13]"
"12","12","41.45 [37.75, 44.6]","23.71 [18.75, 29.52]","27.7 [22.06, 32.38]","51.42 [48.74, 53.94]","48.55 [45.33, 51.83]","7.58 [5.19, 9.92]","56.13 [54.02, 58.33]","0.13 [0.08, 0.18]","54.49 [31.97, 75.87]"
"13","13","38.37 [33.18, 43.51]","27.66 [20.77, 33.36]","22.89 [16.97, 30.42]","50.55 [46.79, 53.51]","48.83 [45.57, 52.09]","7.39 [5.03, 9.71]","56.23 [54.09, 58.41]","0.07 [0.03, 0.11]","34.98 [16.52, 56.63]"
"14","14","38.27 [34.71, 41.6]","26.93 [21.49, 32.31]","23.22 [18.21, 28.18]","50.15 [47.35, 52.79]","48.62 [45.45, 51.93]","7.51 [5.14, 9.81]","56.13 [54.02, 58.31]","0.11 [0.07, 0.15]","54.02 [34.48, 74.03]"
"15","15","31.76 [28.88, 34.85]","26.28 [22.06, 30.93]","18.29 [14.97, 21.8]","44.58 [41.91, 48.01]","48.16 [44.87, 51.53]","7.47 [5.14, 9.83]","55.63 [53.36, 57.94]","0.14 [0.1, 0.17]","64.59 [45.85, 80.72]"
"16","16","38.1 [34.1, 41.81]","27.94 [22.47, 33.04]","22.5 [17.51, 27.82]","50.44 [47.61, 53.01]","48.83 [45.64, 52.09]","7.4 [5.04, 9.7]","56.23 [54.13, 58.39]","0.12 [0.08, 0.17]","61.74 [39.47, 84.69]"
"17","17","32.24 [28.08, 36.65]","30.16 [25.57, 33.93]","16.68 [13.86, 20.75]","46.85 [42.15, 50.85]","49.13 [45.91, 52.37]","6.93 [4.69, 9.13]","56.05 [53.83, 58.25]","0.07 [0.05, 0.1]","40 [24.98, 55.61]"
"18","18","32.98 [28.91, 37.31]","26.3 [21.78, 31.27]","19.28 [15.01, 24.08]","45.57 [42.01, 49.57]","48.2 [44.92, 51.62]","7.47 [5.1, 9.75]","55.67 [53.38, 57.99]","0.1 [0.07, 0.14]","47.74 [31.48, 65.62]"
"19","19","34.75 [31.06, 38.3]","26.73 [21.81, 31.97]","20.49 [16.22, 24.87]","47.21 [44, 50.76]","48.26 [44.92, 51.58]","7.48 [5.18, 9.81]","55.74 [53.45, 58.04]","0.09 [0.06, 0.13]","44.2 [29.32, 60.32]"
"20","20","31.69 [28.34, 35.46]","29.1 [24.85, 32.98]","16.8 [14.01, 20.51]","45.9 [42.39, 49.71]","48.79 [45.65, 52.03]","7.06 [4.84, 9.22]","55.85 [53.63, 58.05]","0.1 [0.07, 0.13]","51.09 [34.01, 68.71]"
"21","21","30.37 [26.4, 35.48]","28.53 [24.16, 32.71]","16.04 [13.16, 20.27]","44.58 [40.09, 49.64]","48.82 [45.56, 52.08]","7.02 [4.73, 9.22]","55.84 [53.57, 58.08]","0.13 [0.05, 0.2]","64.58 [25.15, 101.34]"
