"","species","ToptCI","B50CI","B50_lowCI","B50_highCI","breadthCI","x_minCI","x_maxCI","max_RGRCI","areaCI"
"1","1","33.13 [29.93, 36.16]","31.33 [26.73, 35]","16.23 [13.3, 19.86]","47.55 [44.52, 50.38]","49.43 [45.45, 53.15]","4.72 [2.38, 7.04]","54.16 [51.42, 56.73]","0.09 [0.06, 0.12]","121.9 [82.21, 159]"
"2","2","34.56 [31.17, 37.79]","28.43 [22.67, 33.71]","18.96 [14.49, 23.73]","47.39 [44.63, 50.23]","48.97 [45, 52.79]","5.03 [2.63, 7.4]","54 [51.21, 56.63]","0.1 [0.07, 0.12]","118.75 [85.89, 148.1]"
"3","3","27.67 [24.46, 31.93]","28.51 [24.37, 32.79]","13.45 [10.89, 16.74]","41.96 [38.14, 46.54]","49.07 [45.04, 52.88]","4.67 [2.33, 7.05]","53.74 [50.86, 56.41]","0.09 [0.06, 0.12]","109.45 [75.3, 140.83]"
"4","4","32.71 [30.34, 35.12]","31.48 [26.82, 35.01]","15.83 [13.28, 19.11]","47.31 [44.78, 49.78]","49.42 [45.46, 53.1]","4.69 [2.33, 7.02]","54.11 [51.27, 56.69]","0.1 [0.08, 0.12]","136.96 [110.5, 160.24]"
"5","5","32.54 [27.88, 37.32]","26.67 [21.45, 32.6]","18.3 [13.45, 23.19]","44.97 [40.75, 49.63]","48.66 [44.65, 52.49]","5.07 [2.68, 7.52]","53.73 [50.85, 56.38]","0.1 [0.07, 0.13]","115.68 [77.65, 151.68]"
"6","6","33.99 [31.89, 36.24]","31.84 [26.74, 35.59]","16.61 [13.9, 20.2]","48.45 [45.96, 50.7]","49.55 [45.53, 53.32]","4.82 [2.42, 7.21]","54.37 [51.68, 56.87]","0.09 [0.08, 0.1]","121.47 [101.68, 138.39]"
"7","7","28.4 [26.02, 31.05]","30.54 [26.86, 33.9]","13.03 [10.94, 15.54]","43.57 [40.69, 46.48]","49.73 [45.77, 53.55]","4.27 [1.93, 6.56]","54 [51.17, 56.6]","0.09 [0.07, 0.1]","113.02 [89.74, 132.75]"
"8","8","28.88 [26.7, 31.4]","30.19 [26.26, 33.82]","13.57 [11.45, 16.06]","43.76 [41, 46.84]","49.32 [45.26, 53.09]","4.46 [2.13, 6.75]","53.79 [50.79, 56.48]","0.08 [0.07, 0.1]","110.15 [92.55, 125.75]"
"9","9","31.28 [28.3, 34.29]","31.21 [26.6, 34.92]","14.89 [12.39, 18.18]","46.1 [42.81, 49.2]","49.4 [45.42, 53.19]","4.62 [2.29, 7]","54.02 [51.25, 56.6]","0.08 [0.06, 0.1]","112.51 [82.41, 138.39]"
"10","10","35.82 [31.42, 39.64]","27.51 [20.95, 33.62]","20.49 [14.89, 26.28]","47.99 [44.64, 51.07]","48.94 [44.94, 52.7]","5.08 [2.68, 7.5]","54.02 [51.15, 56.62]","0.08 [0.06, 0.11]","101.42 [69.03, 130.46]"
"11","11","31.51 [28.88, 34.14]","31.92 [27.53, 35.4]","14.67 [12.37, 17.69]","46.6 [43.57, 49.33]","49.65 [45.63, 53.43]","4.44 [2.08, 6.74]","54.09 [51.24, 56.69]","0.09 [0.07, 0.12]","129.57 [98.13, 156.13]"
"12","12","31.22 [28.69, 33.86]","31.93 [27.99, 35.19]","14.45 [12.22, 17.23]","46.37 [43.67, 49.06]","49.64 [45.75, 53.38]","4.41 [2.07, 6.73]","54.04 [51.35, 56.65]","0.08 [0.06, 0.1]","108.29 [84.48, 129.53]"
"13","13","29.26 [24.86, 35.91]","27.99 [23.07, 33.02]","14.98 [11.38, 21.08]","42.96 [38.38, 48.77]","48.87 [44.89, 52.76]","4.86 [2.4, 7.23]","53.73 [50.89, 56.41]","0.1 [0.05, 0.15]","117.94 [54.84, 173.43]"
"14","14","30.3 [26.91, 33.95]","29.71 [25.33, 33.63]","14.94 [12.06, 18.69]","44.66 [41.31, 48.25]","49.13 [45.3, 52.78]","4.82 [2.47, 7.16]","53.95 [51.2, 56.52]","0.09 [0.06, 0.12]","115.46 [80.33, 147.88]"
"15","15","30.11 [27.42, 33.13]","30.75 [26.23, 34.41]","14.24 [11.85, 17.44]","44.98 [41.88, 48.16]","49.37 [45.23, 53.15]","4.53 [2.17, 6.87]","53.91 [50.88, 56.6]","0.09 [0.07, 0.11]","115.16 [88.03, 137.18]"
"16","16","31.39 [28.82, 33.92]","31.8 [27.57, 35.2]","14.65 [12.39, 17.44]","46.45 [43.46, 49.18]","49.57 [45.59, 53.28]","4.51 [2.18, 6.86]","54.07 [51.4, 56.64]","0.08 [0.07, 0.1]","112.84 [89.64, 132.26]"
"17","17","31.03 [28.09, 34.17]","31.26 [26.74, 34.99]","14.66 [12.15, 17.96]","45.92 [42.58, 49.17]","49.46 [45.5, 53.27]","4.54 [2.12, 6.87]","54 [51.15, 56.65]","0.09 [0.06, 0.11]","117.03 [83.06, 146.27]"
"18","18","31.7 [28.74, 34.9]","29.57 [23.97, 34.17]","16.09 [13.04, 20.15]","45.66 [42.18, 49.01]","48.95 [44.87, 52.7]","4.9 [2.51, 7.27]","53.85 [50.93, 56.52]","0.08 [0.07, 0.09]","102.42 [80.5, 119.77]"
"19","19","31.86 [28.35, 35.64]","30.78 [25.55, 34.94]","15.56 [12.6, 20.07]","46.34 [42.66, 49.69]","49.33 [45.33, 53.03]","4.7 [2.32, 7.07]","54.03 [51.27, 56.6]","0.08 [0.06, 0.11]","113 [75.01, 145.43]"
"20","20","31.42 [28.68, 34.2]","31.54 [26.89, 35.19]","14.81 [12.39, 18.05]","46.36 [43.1, 49.27]","49.51 [45.35, 53.28]","4.55 [2.1, 6.93]","54.05 [51.2, 56.65]","0.09 [0.07, 0.11]","121.84 [93.23, 145.78]"
"21","21","29.05 [25.03, 34.38]","28.66 [23.9, 33.32]","14.47 [11.28, 19.23]","43.13 [38.75, 48.33]","49 [45.01, 52.78]","4.78 [2.39, 7.14]","53.78 [50.88, 56.39]","0.09 [0.05, 0.12]","107.65 [63.56, 147.94]"
"22","22","32 [29.94, 34.06]","32.57 [28.58, 35.73]","14.69 [12.63, 17.3]","47.26 [44.7, 49.56]","49.82 [45.73, 53.5]","4.38 [2.09, 6.65]","54.2 [51.44, 56.75]","0.09 [0.08, 0.11]","129.13 [109.18, 146.63]"
"23","23","30.67 [27.62, 33.88]","31.03 [26.51, 34.82]","14.52 [11.95, 17.91]","45.55 [42.09, 48.86]","49.45 [45.35, 53.29]","4.55 [2.17, 6.93]","54 [51.13, 56.63]","0.09 [0.07, 0.12]","123.63 [85.54, 153.61]"
"24","24","31.79 [27.93, 36.08]","29.23 [23.75, 33.84]","16.36 [12.64, 21.5]","45.59 [42.03, 49.25]","49.06 [45.12, 52.85]","4.88 [2.46, 7.18]","53.94 [51.09, 56.5]","0.11 [0.06, 0.16]","139.52 [81.27, 189.63]"
