"","species","maximaBT_lci","maximaBT_uci","B50_lci","B50_uci","B50_low_lci","B50_low_uci","B50_high_lci","B50_high_uci","breadthBT_lci","breadthBT_uci","x_minBT_lci","x_minBT_uci","x_maxBT_lci","x_maxBT_uci","max_RGR_lci","max_RGR_uci","area_lci","area_uci","speciesn"
"1","1",29.2867748423584,35.2592325143571,27.4367851515152,34.8682434848485,13.7410183333333,18.6419161868687,43.9890642424242,50.6718021212121,46.431915,53.384075,4.132,8.74631,54.0056075,58.749735,0.058694184197833,0.105326721461235,51.719372427,94.227805180525,1
"2","2",34.966785780305,41.2476317099628,25.5696958080808,34.9638085858586,16.9391077777778,25.662832550505,49.3589239393939,53.7534226515151,46.3673175,53.151415,4.77545,9.5790075,54.8397625,59.1847175,0.0544834133262292,0.0985287331690042,46.914763549935,88.2745302576,2
"3","3",31.2082184400188,38.6564384517698,26.310831010101,35.158601969697,14.9829297979798,22.6704318434343,45.8535591666667,52.458341969697,46.21522,53.1711725,4.539365,9.204995,54.3451875,58.88271,0.042306408620089,0.101588447139022,35.9874015488325,92.64336974855,3
"4","4",30.9430935854403,37.5868393296162,25.9033969191919,34.5404383333333,15.0502109090909,21.8206001515151,45.1337953030303,51.7665531818182,46.0239475,52.8140175,4.5671825,9.2123025,53.9753825,58.6849175,0.0532698262715874,0.103243246821041,45.715785270825,91.1604541251,4
"5","5",33.2465267210435,42.7124684818438,23.0696142424242,34.5752080808081,16.340535479798,28.3489962121212,47.4565057575758,53.6698858333333,46.0631225,52.975435,4.80338,9.540975,54.47794,58.9752225,0.0367007100652752,0.121385944837539,28.179505216935,103.78778443215,5
"6","6",29.5331208636302,36.5125387711575,27.6779953535354,35.1313884848485,13.9803060858586,19.7745468181818,44.4629145454545,51.5024907828283,46.54721,53.36272,4.31095,8.7635075,54.2030875,58.783035,0.046391141413617,0.0999947977889239,41.33601062136,91.109204586925,6
"7","7",32.2345322860114,38.0628548010775,27.4739971212121,35.4544733333333,15.3728654040404,21.6607413636364,46.9653757828283,52.4554641666667,46.3168975,53.2449475,4.6139375,9.33301,54.6023975,58.935,0.0558547368385449,0.0993357306554843,49.02383793045,91.1809503333,7
"8","8",32.4984629399716,38.020373223509,25.9905658585859,34.9785966666667,15.7125666666667,22.2389890909091,46.5935759343434,52.2962507575758,45.98001,52.9453325,4.6020825,9.2966675,54.1199975,58.7800125,0.0554899884439553,0.0888349018882027,47.87410834629,79.5044417103,8
"9","9",34.8856894770967,39.362473879092,27.5262586363636,35.6194827525253,16.5429572727273,23.029329469697,49.4041447727273,53.3658887121212,46.55215,53.362655,4.697285,9.45867,54.968325,59.2155075,0.0674229854049229,0.0916351671792203,59.11826552055,84.264121595625,9
"10","10",33.4541243056211,39.9622747343639,25.7083484848485,35.2670312121212,15.9491690151515,24.4175350252525,47.9598834090909,53.034893030303,46.266355,53.21305,4.5912275,9.338615,54.5214,58.99611,0.0521034906837927,0.0921018522143709,44.181748481895,84.33148239045,10
"11","11",34.5508630854953,40.0212774328893,21.7884749242424,32.758625959596,17.8983017929293,26.379685959596,46.6665608333333,52.4183187373737,45.36326,52.4325925,4.88109,9.76851,53.971875,58.5840275,0.055676785228262,0.0861757086743964,42.279663548185,69.243216921525,11
"12","12",31.6337027952407,36.4190679023652,24.1044975757576,33.02709,15.5118263636364,22.6304227020202,45.4915692424242,50.0181019949495,45.454915,52.4627425,4.8812975,9.66672,53.8934625,58.6202425,0.0669358532585844,0.0848842327070296,53.817056532,72.015462511875,12
"13","13",31.1627206474852,37.4234107832412,26.0429343434344,34.6396192424242,15.1259948989899,21.6144726515152,45.4873632575758,51.8123921464647,45.967665,52.8452025,4.55499,9.2352125,54.0395675,58.66631,0.054909003227543,0.103726344151161,47.94236227842,92.38397906385,13
