"","species","maximaBT_lci","maximaBT_uci","B50_lci","B50_uci","B50_low_lci","B50_low_uci","B50_high_lci","B50_high_uci","breadthBT_lci","breadthBT_uci","x_minBT_lci","x_minBT_uci","x_maxBT_lci","x_maxBT_uci","max_RGR_lci","max_RGR_uci","area_lci","area_uci","speciesn"
"1","1",26.4657869070248,33.3932891905314,21.7400355555556,31.0739958585859,12.9032532828283,20.0895655050505,39.3007521464646,46.4026217676768,43.2941275,50.06811,3.642885,8.179615,50.2482375,55.0823525,0.046869409009414,0.0909084196159042,42.71349579246,85.2213715199,1
"2","2",29.8345763626326,35.6067189303226,22.4819290909091,31.5724424494949,14.7297829292929,21.8409396212121,42.5702657070707,48.162018989899,43.4534175,50.28233,3.576935,8.1168375,50.40154,55.21442,0.070369246323426,0.118753656983929,66.090510802025,112.30155399765,2
"3","3",27.5380699885205,34.6796738549876,22.7389278030303,32.007543030303,13.2997299242424,20.4691929545455,40.4828677272727,47.8405953030303,43.6096675,50.384845,3.4447975,7.93821,50.2047475,55.1055225,0.0599812456327601,0.114715323610762,56.7043325544,110.3745728514,3
"4","4",30.1330715941114,37.0488860715639,21.1684387121212,31.620211540404,14.7982445707071,23.9265625757576,42.9096698737374,48.6507543181818,43.5502875,50.2348125,3.6661775,8.26634,50.46902,55.230315,0.0660839323617292,0.140962443984841,61.85839151085,128.56030886925,4
"5","5",29.0255693631472,36.4577030310477,19.6620145454546,30.0505062121212,14.9276118434343,23.8826904545455,40.7559883333333,47.7658516919192,42.9994875,49.972945,3.63903,8.345555,50.106635,54.9683875,0.0554554626019161,0.123170064530321,47.84263827282,106.94524456075,5
"6","6",25.8370518597032,33.8435715420085,21.9126743181818,31.031325,12.5068099494949,20.4460921212121,38.9051190656566,46.6342173484848,43.3902575,50.2559475,3.5829375,8.12812,50.231295,55.089135,0.0488417543023441,0.112958986067489,45.32288145451,105.5978815911,6
"7","7",25.7486635355123,32.2558195783162,22.7570265656566,31.1531047979798,12.415920050505,18.3258582575758,38.6878335353535,45.956265,43.55272,50.2911225,3.50039,7.9473025,50.1569725,55.07051,0.0638771855152433,0.112629509740574,59.69156329485,106.4524319977,7
"8","8",25.0570318247056,32.8766712363383,21.3935657575758,30.1290053030303,12.3825092676768,19.9646909090909,37.7816267929293,45.6742418686869,43.2525125,50.0480175,3.6264825,8.16961,50.16348,55.000705,0.051265272352116,0.114748079781249,45.8441744137,104.2599865293,8
"9","9",27.7646258136559,34.5238613833991,23.9549201010101,32.3765182828283,13.1896873232323,20.0831850757576,41.3387769191919,47.923413030303,43.8326875,50.4457775,3.50048,7.9112025,50.503095,55.2330225,0.0555744417912604,0.110977237128857,54.359967467925,110.799702479175,9
"10","10",28.0239294583634,33.7086430148706,24.6802547727273,32.5762865656566,13.0616108333333,18.799623989899,41.6552570707071,47.5484706313131,43.8094725,50.49812,3.415495,7.82981,50.47688,55.21556,0.0623659659446834,0.10401351607806,61.703152682175,105.3573916254,10
"11","11",29.099606441527,35.5584784113535,21.4077812121212,31.2761689393939,14.4944647727273,22.1724208333333,41.5166462121212,47.907203459596,43.3360975,50.1420775,3.651585,8.1312175,50.2050775,55.103,0.0585258704727321,0.117173942313888,54.1185818621,107.452542370125,11
"12","12",27.8407318467004,33.2684678928421,25.1145201010101,32.7163563888889,12.9198181565657,18.177975479798,41.4972278030303,47.5247212626263,43.843255,50.5508075,3.3411475,7.7029225,50.3224825,55.216305,0.0619488909245294,0.098491278208007,61.9362116244,98.74520333115,12
"13","13",27.5341978069673,33.6061873071308,23.4020725252525,32.0349509090909,13.1758067676768,19.2644915656566,40.6417225,47.3218077272727,43.5886825,50.4353025,3.43338,7.93634,50.25584,55.1204025,0.0670255316370849,0.113011227873268,64.759599876175,109.1563077348,13
"14","14",24.5411602103166,30.4110452433233,23.5367611868687,31.0278515151515,11.3885707575758,16.4313195959596,37.7319222222222,44.6956906818182,43.739775,50.668405,3.180385,7.69227,50.2298925,55.168235,0.0630411862959318,0.113554356458452,59.88188347045,107.211284678225,14
"15","15",29.368974144689,37.4454357304919,19.9155938131313,30.556155,14.9259518939394,25.0400785606061,41.7909036363636,48.3778606060606,43.3472575,50.0919725,3.6959075,8.2834075,50.4023875,55.1507075,0.0497624601582178,0.121840161518977,43.82515152548,105.6831356139,15
"16","16",23.1479509463497,29.6345081494635,22.3102024242424,29.987605479798,10.9424833838384,16.0171955555556,35.8124163131313,43.6165152272727,43.6148675,50.4368825,3.26419,7.6894125,50.06299,54.9352,0.0657713037966952,0.119498623652905,60.4819073322,107.27261078575,16
"17","17",24.2280116154802,31.6518359733224,23.5503076515152,31.3879090909091,11.3828863636364,17.1454540151515,37.4465641414141,45.7682037121212,43.8692825,50.6927225,3.2728325,7.7024625,50.3201525,55.1928375,0.0474259125811084,0.134406373237179,44.932214848085,129.04206474315,17
