"","species","maximaBT_lci","maximaBT_uci","B50_lci","B50_uci","B50_low_lci","B50_low_uci","B50_high_lci","B50_high_uci","breadthBT_lci","breadthBT_uci","x_minBT_lci","x_minBT_uci","x_maxBT_lci","x_maxBT_uci","max_RGR_lci","max_RGR_uci","area_lci","area_uci","speciesn"
"1","1",36.6703086647748,41.8602934915596,12.7797787121212,18.4090168939394,27.4183915909091,33.406222449495,43.4320088636364,48.0472208333333,32.9839725,39.64586,11.483535,16.70846,48.307865,52.554655,0.091766901958385,0.16575997462298,22.49017254477,39.357536498025,1
"2","2",29.0434740552903,38.6686301349549,14.0524895454545,21.5305437878788,19.755702550505,29.6629221464646,38.1123940909091,46.2145956818182,32.4305375,39.6939025,11.4459875,16.6851475,47.7034925,52.5936725,0.0443772267932095,0.117440963345684,12.155019395805,30.78654535533,2
"3","3",29.5914343240135,39.6684041314604,14.5725960606061,23.5464266161616,19.7566986363636,30.5207154292929,39.1697963636364,47.3224173484849,33.15008,40.092525,11.4445725,16.6660475,48.3552825,52.9793175,0.0353422494568736,0.138563814785665,10.236192401955,35.8708191605575,3
"4","4",31.7972714950969,39.4978888415771,15.2558463383838,24.3480284090909,20.6494152020202,30.0273066666667,41.5193389141414,47.5960075,33.3806975,40.351225,11.32725,16.569125,48.5353775,53.034215,0.0462949661604771,0.130819901105768,13.8503043210075,37.3189679480925,4
"5","5",34.7178046930812,39.8798078795356,14.8245371969697,22.3882311363636,23.6695171969697,30.2749457070707,43.1556181818182,47.8979470707071,33.538505,40.35842,11.4300425,16.5787625,48.587675,53.17566,0.146887888931505,0.314501167477869,41.999560611725,84.501269029875,5
"6","6",36.1527897857383,40.6922717332284,14.4826947727273,22.0233515151515,24.7892260353535,31.3414848232323,44.2927193181818,48.2394182575758,33.47291,40.240955,11.1810975,16.51548,48.714375,52.9632225,0.136673880123612,0.297732893440954,39.352411356,75.979035021975,6
"7","7",32.7138507370554,39.5907478718836,13.7867681818182,22.1263749747475,22.2991207828283,30.7085240909091,41.5710767676768,47.4178746212121,33.1346575,40.2118175,11.420935,16.677285,48.3471125,53.1173075,0.125084514665545,0.289707443974638,34.44632926455,74.711786814525,7
"8","8",31.9751276836231,41.1236312137518,14.1170608838384,23.6337942676768,21.2461364393939,32.0410358838384,41.5362119949495,48.3191328535354,33.2606025,40.16565,11.4436475,16.671505,48.56649,53.0372075,0.0364060454087983,0.159886463521126,10.300151464555,42.320791872075,8
"9","9",34.0357268924446,42.071098912361,13.2742293434344,23.014134469697,22.5585649747475,33.4608172727273,43.1628926515152,48.6083296212121,33.287445,40.2669525,11.368485,16.7413,48.6197725,52.98853,0.0582002586793794,0.26836280466422,15.50227595811,69.5460393496,9
"10","10",34.4849094335876,40.8235509852226,13.8630579040404,22.8986163636364,22.9677079040404,32.0790841666667,43.5525415909091,47.9593335353535,33.420215,40.1592725,11.3670525,16.4983275,48.6244,52.8981125,0.112024731143743,0.276079119408476,31.4065193859625,73.477123116,10
"11","11",32.2395877808903,39.1563846065473,13.0906075252525,20.9473914393939,22.168093030303,30.6899503787879,40.8241009090909,46.3486795454545,32.4801325,39.6225225,11.46456,16.86178,47.8880675,52.564205,0.123331448178287,0.376216734514462,33.4439706165675,89.5804450251,11
"12","12",32.0082434738239,40.3652609670917,12.8391809090909,21.2678190909091,22.2042685606061,31.7411689141414,40.5076290909091,47.5551618686869,32.4349975,39.88212,11.500115,16.792215,47.8188475,52.873305,0.0860687058393697,0.241969656963756,22.38074708966,60.3201285748,12
"13","13",35.2588612417213,40.6461505746777,14.0475857575758,21.7895267424242,24.3064542929293,31.5571516161616,43.4078879040404,47.9328932323232,33.19209,40.143615,11.4319175,16.7494375,48.608375,52.98572,0.106763441475061,0.303162581446867,29.70013790658,75.436229078025,13
