"","species","maximaBT_lci","maximaBT_uci","B50_lci","B50_uci","B50_low_lci","B50_low_uci","B50_high_lci","B50_high_uci","breadthBT_lci","breadthBT_uci","x_minBT_lci","x_minBT_uci","x_maxBT_lci","x_maxBT_uci","max_RGR_lci","max_RGR_uci","area_lci","area_uci","speciesn"
"1","1",34.5348329328833,40.4061038589674,15.8449951262626,24.1393907575758,22.1918078030303,30.2574286111111,44.0197504545455,48.4161281313131,35.86427,42.568275,9.45638,14.388135,49.0421875,53.4181,0.0976054698534914,0.248465405277138,24.845044499925,57.84996679585,1
"2","2",28.9696282077177,41.3524443347574,14.7314586363636,26.8421112626263,17.376625,32.1526782575758,40.0639021717172,48.5139110606061,36.1289275,42.9748175,9.15338,14.0998325,48.8970525,53.463905,0.0441327541062687,0.283009110516721,10.5801276700675,80.5852204416,2
"3","3",27.4505278299841,35.5139713063792,19.2193675757576,27.3624876515152,16.4941140151515,23.6019359343434,38.6024698484848,46.5664825757576,36.8938725,43.258815,8.9066925,13.3673475,48.9897975,53.5129025,0.0886636197264804,0.245931358832703,24.605426083925,70.8856566079,3
"4","4",31.2073583078527,37.8228703179458,17.0891215909091,26.0443670454545,18.9539316666667,27.3586961111111,41.9273663383838,47.1139970454546,36.03226,42.7119125,9.3242275,14.1994,48.960895,53.418555,0.115757669973436,0.359883056458361,31.825796801475,90.626851349775,4
"5","5",26.9474488134747,36.4407635659508,16.7693244444444,24.4504512121212,16.9836523232323,25.8331354545455,37.0611768939394,45.714304040404,35.491305,42.3558125,9.4128025,14.2851025,48.4093925,53.15438,0.106377829602652,0.315009099276896,27.6185679117,78.434649125775,5
"6","6",29.2964233524295,37.4140202480877,17.6490826262626,26.3867902020202,17.9284225,26.3799242424242,40.0652274242424,47.1229225,36.09759,42.8067175,9.2756675,14.1299,48.9034,53.442535,0.0849170676763721,0.243240289568879,23.110072475665,64.06771368025,6
"7","7",26.2069165498821,32.5118495306961,18.7183312878788,25.2782440909091,15.7970641666667,21.4419254545455,37.0292540909091,43.7098783080808,36.61089,42.9142175,8.968485,13.1694175,48.51578,53.2585175,0.111602330995823,0.259353552307395,30.535372806165,68.65321738855,7
"8","8",31.7952521517322,41.0453526605804,14.2484475,23.3359265151515,20.6183191414141,31.7447483333333,41.2469616666667,48.1467972727273,35.4223125,42.189855,9.5897475,14.421615,48.5659975,53.2113975,0.0715427926721274,0.198638783069664,17.044091709395,43.70700825,8
"9","9",27.6351591271293,34.8495747577867,18.0016398989899,25.7233924494949,16.9992166414141,23.5899111363636,38.2968566666667,45.6160246212121,35.865485,42.538895,9.37326,14.1185025,48.6846875,53.3325,0.0876492735681153,0.240018021215814,23.7470123232575,61.82740043525,9
"10","10",31.0846882929513,36.9782859676481,18.6525411616162,26.3935576515152,18.72157,25.5699843181818,41.9915483333333,47.0819643434344,36.04965,42.7212625,9.4312,14.3194075,49.048895,53.4753425,0.134370004109186,0.288532611998992,38.0708385035,76.343956546575,10
"11","11",25.4018983271583,31.6513246545453,18.5966521212121,24.8433021717172,15.3321122727273,20.5789022727273,36.0696609343434,42.961870530303,36.6424925,43.0445225,8.908085,13.0904175,48.494795,53.301105,0.104972420646483,0.279270688479058,28.64157705294,72.151942721225,11
"12","12",26.9346640801438,36.2289112224243,17.5722926515151,25.4999126767677,16.8193085606061,25.0610912121212,37.3826305555556,46.1813971969697,35.8020825,42.583355,9.332995,14.113335,48.61268,53.34987,0.0695294944799917,0.217743971885271,18.5128997478425,56.6117553114,12
"13","13",32.0774757485714,40.3971401557698,17.3069280050505,27.4881138888889,19.4839628535354,29.0616809848485,42.3278025757576,49.4922795454545,36.78536,43.4478325,9.4070825,14.2122125,49.4799925,54.086265,0.0978647209709808,0.283392222313819,26.14249140279,78.7593728434,13
"14","14",31.8199014971831,40.0218239057064,14.218213030303,22.7059258333333,20.8808833080808,30.6102191919192,41.1350353282828,47.4465098989899,35.234875,42.0885575,9.5973775,14.4445425,48.380295,53.037275,0.0838485068551579,0.211802035282685,19.867397300965,46.803558467775,14
"15","15",28.3105006898617,35.7212722087103,18.4664337878788,26.4237781818182,17.0586093181818,24.2325102777778,39.2156893181818,46.3319911363636,36.22202,42.79976,9.19758,13.889415,48.7858175,53.349645,0.106520909952494,0.227111834296418,29.306255563335,62.042608528375,15
"16","16",29.1131140547699,37.0281938979247,17.6501757575758,26.0035248484848,17.9378865656566,25.9113529545455,39.6313471464646,46.9590616919192,35.924195,42.70132,9.3568975,14.193315,48.7375925,53.4656475,0.0806098947297457,0.199904275645068,21.7228834186525,52.438742419025,16
"17","17",28.4669459933505,36.2141720270265,17.2178443181818,25.5008834090909,17.5143551262626,25.5299767171717,38.9570211868687,46.0544914393939,35.7099925,42.49111,9.341595,14.18281,48.57235,53.180425,0.0934854129211393,0.284450033004936,24.622459210365,71.276255086175,17
"18","18",31.8162595106693,40.0096387068611,16.408575959596,26.3356183585859,19.3072983080808,29.698264520202,42.4890269444445,48.3800133333333,36.26272,42.7391,9.395595,14.11992,49.0535975,53.537945,0.0700691080461654,0.226320397958829,17.7526377803775,59.18957492895,18
