"","species","maximaBT_lci","maximaBT_uci","B50_lci","B50_uci","B50_low_lci","B50_low_uci","B50_high_lci","B50_high_uci","breadthBT_lci","breadthBT_uci","x_minBT_lci","x_minBT_uci","x_maxBT_lci","x_maxBT_uci","max_RGR_lci","max_RGR_uci","area_lci","area_uci","speciesn"
"1","1",36.2551369839574,43.6434748994831,10.8392066666667,19.7992620707071,26.5487148232323,36.2788790151515,43.3720450505051,49.5069761616162,32.860045,40.301685,12.042745,17.4827425,48.828355,53.8316475,0.0954757708430834,0.297712278028297,7.6249247446875,23.14968927136,1
"2","2",36.7858431762857,41.8191571561947,10.8983936616162,17.7928994949495,27.6164416161616,34.7467122727273,43.5768307323232,47.7513813636364,32.5052475,39.75074,12.0641525,17.6264075,48.67987,53.3452125,0.301370399938709,0.76632557464253,24.849682679895,55.6260528047,2
"3","3",37.8764295908492,44.1095800629375,10.3469232323232,17.4150707070707,29.2475771717172,37.0699620454545,43.9185804545455,49.4103191161616,32.596395,40.1942575,12.0643575,17.6236075,48.6325,53.6667275,0.298359581132493,0.868614785482594,22.16927923537,62.8862868825,3
"4","4",40.1189052865382,42.9201447470599,9.96866866161617,14.1780928535354,32.5411880555556,36.4333110606061,45.3002141666667,47.9264753787879,32.48451,39.0753125,12.1853,17.661615,48.7977975,52.6820375,0.863414114268773,1.60724277368452,61.26110467335,102.86093657125,4
"5","5",37.4990518809555,42.3764126169336,11.4555328030303,19.1560827020202,27.58187,35.0647821212121,44.6116937878788,48.4364715151515,33.084045,40.08278,11.8514875,17.37074,49.029885,53.4456175,0.407691824700491,1.04342795282533,34.45782452968,83.0765571831,5
"6","6",37.4325607836624,43.3072247058122,10.0806703030303,16.9959855050505,28.7385411868687,36.5197248737374,43.8632936111111,48.6938908333333,32.37838,39.69163,12.16606,17.6658075,48.620575,53.3265025,0.137134594406779,0.394264050513551,10.2894219047425,27.681464586795,6
"7","7",33.6209273194976,45.701071797487,10.3035037626263,20.7317193686869,24.0338429292929,38.5048048232323,41.5839371212121,50.860760530303,32.7407325,40.4591025,12.108165,17.5870075,48.68888,54.0729025,0.0331959220425027,0.312800443631128,2.520135466968,25.1533498626375,7
"8","8",37.5573105755301,44.7803982735627,10.1068082575758,18.2256663636364,28.6712973989899,38.0285185858586,43.9122067424242,49.9462870707071,32.8652,40.2346475,12.11737,17.60935,48.8703975,53.803315,0.179707642437998,0.646725211435844,13.2893617127325,47.44449021395,8
"9","9",39.385951608176,42.3829782923004,10.0713631313131,14.9932811363636,31.491608459596,35.7540067929293,44.7626831818182,47.7770233585859,32.4478675,39.5125025,12.3233475,17.80627,48.757495,53.1182,0.776564865977365,1.53420469091573,57.955071259475,100.57221761295,9
"10","10",40.6513527636236,46.0480139681405,9.6932732070707,16.7047648737374,31.7790128787879,39.5385530555555,46.3189963131313,50.7568245454545,33.4660875,40.4235075,12.1932375,17.7181525,49.800795,53.926325,0.251339036394162,0.88403271261968,17.36637449997,61.372697035,10
"11","11",36.8299842643499,43.4772618998434,10.2727174242424,17.801355050505,27.9406347727273,36.4174721212121,43.3982806060606,48.996385530303,32.3423975,39.954285,12.0512775,17.6866,48.4429975,53.490045,0.0814199392733996,0.223242838848351,6.172970395545,16.59067778082,11
