"","species","maximaBT_lci","maximaBT_uci","B50_lci","B50_uci","B50_low_lci","B50_low_uci","B50_high_lci","B50_high_uci","breadthBT_lci","breadthBT_uci","x_minBT_lci","x_minBT_uci","x_maxBT_lci","x_maxBT_uci","max_RGR_lci","max_RGR_uci","area_lci","area_uci","speciesn"
"1","1",34.0457336891072,41.9553406680912,21.2407640909091,32.4971393939394,17.7492731818182,28.6293828030303,47.0082028787879,52.9326959343434,45.413155,51.96946,5.1322775,9.8132775,54.0454825,58.35933,0.0672446221491182,0.154030330330942,32.424150193815,72.780521864225,1
"2","2",35.6430558894956,45.819984799588,17.5018046969697,30.9797088383838,19.6163109848485,34.4408702272727,47.8014548232323,54.1889590656566,45.3032375,51.873975,5.15949,9.858825,53.96178,58.3033025,0.0384618153087822,0.125176649515372,16.239737779035,55.50512488375,2
"3","3",32.8815297330898,40.6636609032988,23.0633721969697,33.3524117676768,16.6997629292929,26.243595959596,46.4323399242424,52.572563510101,45.4363825,52.036635,5.0820225,9.75601,54.051195,58.3375075,0.072970174377163,0.158881118837026,36.226592262315,81.310682384075,3
"4","4",34.4956206574358,42.83378592861,20.1040568181818,31.6177989646465,18.5101823484849,29.969774469697,47.0022690909091,53.0702969191919,45.352695,51.8205175,5.2360725,9.8407625,54.0011925,58.2594125,0.0604790828830916,0.164175621539674,27.8291903179375,75.45848191455,4
"5","5",30.1819667430218,36.5450221159585,21.5561424242424,30.8984904545455,15.8850509343434,23.6798288636364,42.9726598989899,48.9581725757576,44.78009,51.4930025,5.1352875,9.8404325,53.4221775,57.9354175,0.0985690189691783,0.163300764587398,45.5658399190025,77.225555656425,5
"6","6",33.7703544478704,39.2244134076566,19.742993030303,29.669550530303,19.2550882575758,27.0616259848485,45.0291358080808,50.5777896212121,44.702865,51.4133925,5.211165,9.8675225,53.334165,57.856115,0.0888504140534165,0.159290038162908,39.002178091325,70.28862721545,6
"7","7",32.9069819989785,42.6111739491658,20.2798641414141,33.6032324242424,16.4297348737374,29.8098561363636,46.5723070454546,52.9514029292929,45.538395,52.13687,4.9785525,9.6238925,53.935685,58.32652,0.0478334972175441,0.140740513243148,21.7070687548,74.92313709855,7
"8","8",30.1865167677823,39.0125263437144,21.8709932575758,33.1699806565657,15.1972307070707,25.7412312626263,43.9687780555556,51.1478771717172,45.2985725,51.959305,4.90569,9.522715,53.5723425,58.1281525,0.0611012698703504,0.140383436940618,29.03675514231,72.5257441668,8
"9","9",31.300387942985,36.8373781842207,20.1572106060606,29.0439489393939,17.3515145454545,24.8788318181818,43.2199904292929,48.299140530303,44.570785,51.221035,5.29588,10.0225,53.29219,57.7689175,0.104083864934314,0.163361472538589,45.661435927725,71.8582854423,9
"10","10",31.7805926885214,39.0723187000511,18.4342491666667,28.5112283838384,18.0968883333333,27.7881177272727,43.2453481313131,49.4918109090909,44.2744625,51.1873125,5.272385,10.0153375,53.146195,57.691075,0.0863256821608133,0.192686855341863,36.4429344099075,79.24923020715,10
"11","11",29.8284317352742,35.9833479433371,24.3368522727273,32.8598693939394,15.0484357828283,21.2270824242424,43.4473850757576,50.0225707575758,45.3187425,51.9418925,5.0167975,9.5725125,53.7365125,58.1913275,0.0844647354343652,0.144350570931634,43.44283243362,74.129514036,11
"12","12",37.7457578469708,44.6010399367521,18.7549405050505,29.5153822474747,22.0558674747475,32.3778921969697,48.7399122727273,53.9424037121212,45.3253775,51.83311,5.1865275,9.915455,54.0249525,58.33336,0.0752731674576419,0.178247693000995,31.9654756874075,75.874829170625,12
