"","species","maximaBT_lci","maximaBT_uci","B50_lci","B50_uci","B50_low_lci","B50_low_uci","B50_high_lci","B50_high_uci","breadthBT_lci","breadthBT_uci","x_minBT_lci","x_minBT_uci","x_maxBT_lci","x_maxBT_uci","max_RGR_lci","max_RGR_uci","area_lci","area_uci","speciesn"
"1","1",29.9323667119636,36.1648217902704,26.7275193181818,35.00196,13.3012261363636,19.8631103282828,44.5197342424242,50.3831408585859,45.4469675,53.1482025,2.37648,7.040305,51.4184275,56.73236,0.0620195204437928,0.119356384410041,82.205428708875,158.999304576025,1
"2","2",31.1721241807461,37.7881878066581,22.671173989899,33.7055865151515,14.4941111111111,23.7265812626263,44.6287520454545,50.2309340909091,45.00018,52.788065,2.633675,7.4008025,51.212495,56.6292025,0.0700363623678233,0.124668805458641,85.89036986205,148.097845427175,2
"3","3",24.4613971730399,31.9291169283955,24.3727423484848,32.792076969697,10.8897068434343,16.743139469697,38.1412118181818,46.5363842171717,45.0438825,52.87765,2.3302825,7.0450875,50.861235,56.413855,0.0612000417523538,0.117002543348754,75.2976852529,140.825244766125,3
"4","4",30.3397402032063,35.1183593470626,26.8198852272727,35.0143546212121,13.2761462121212,19.1093112878788,44.7848408838384,49.7801695959596,45.4580275,53.0963025,2.3286725,7.0158075,51.2661525,56.6927625,0.0820095190200748,0.122795542681842,110.50146710205,160.2361204227,4
"5","5",27.8781631837512,37.3184775116095,21.4504959343434,32.6011159848485,13.452296489899,23.1942268686869,40.7530648484849,49.6349338888889,44.6467775,52.4899175,2.67999,7.5243075,50.85067,56.3796275,0.0669052017949287,0.131648493170163,77.646894513175,151.679689413975,5
"6","6",31.8911159247125,36.2366320515507,26.7392236616162,35.5868471464646,13.8999652777778,20.2011698484848,45.9622606060606,50.7003576262626,45.5319225,53.31826,2.4193775,7.20591,51.67676,56.8675125,0.076014739919845,0.10417467836398,101.679190660575,138.39163982205,6
"7","7",26.0156380717992,31.049189778881,26.862569040404,33.8963165909091,10.9379020707071,15.5362439393939,40.6885411363636,46.4760393181818,45.7747,53.553465,1.93088,6.5648575,51.1665475,56.5985775,0.0702155250282089,0.102073430068434,89.743337129825,132.7453807227,7
"8","8",26.7039742699214,31.4012393399711,26.2578653030303,33.8187383333333,11.448184040404,16.0567565151515,40.999543989899,46.8391697979798,45.256175,53.0864375,2.125045,6.7542075,50.790695,56.4814725,0.0720705657585675,0.0983744572867689,92.553911774875,125.7527709219,8
"9","9",28.2992691054919,34.2926925001571,26.5951774242424,34.9170952525253,12.3859740909091,18.1805767171717,42.8105727777778,49.1958611363636,45.4209175,53.1913975,2.2943775,6.998715,51.24527,56.5971425,0.0632941933417645,0.104855644400364,82.414738094,138.38946040195,9
"10","10",31.4214848931479,39.6429064839686,20.9484778030303,33.6161791161616,14.8930946969697,26.2753729545455,44.6392735606061,51.0710029545455,44.93687,52.70168,2.6829575,7.5047075,51.1482725,56.6242375,0.0602308075213212,0.114328749752588,69.0291531924,130.45733235665,10
"11","11",28.8801025863904,34.1381122184264,27.5340677272727,35.4015856060606,12.3701121969697,17.6905947727273,43.5679088888889,49.3292797222222,45.63284,53.42652,2.0807975,6.7383275,51.238595,56.685385,0.0733311024000819,0.117152142586521,98.131128799975,156.1316557422,11
"12","12",28.689824760022,33.8609863882794,27.9884023737374,35.191802449495,12.2179666666667,17.2327427272727,43.665959040404,49.0642122727273,45.7467675,53.3844,2.071715,6.727025,51.3478975,56.6526375,0.0623714477910564,0.0960935214656349,84.48059829525,129.5272130064,12
"13","13",24.8591652749255,35.9082532146954,23.0742294444444,33.0197067929293,11.383585959596,21.0777254545455,38.3829827777778,48.7712328787879,44.8914375,52.7577325,2.404195,7.232025,50.8879975,56.4055075,0.0452277834755836,0.14840673554549,54.839579686425,173.431689293525,13
"14","14",26.9106593149225,33.953168723569,25.3278415656566,33.6265734343434,12.0575082575758,18.6888768939394,41.3070583333333,48.2477821212121,45.3028475,52.7797075,2.465545,7.16237,51.1989525,56.5196225,0.0630191730799826,0.117137042847858,80.329495586325,147.8830820451,14
"15","15",27.4200091520401,33.1322811822071,26.2329895959596,34.4050587121212,11.8484202525253,17.4385733585859,41.8788474747475,48.1603161616162,45.2256375,53.1520175,2.167525,6.8743025,50.8826425,56.5997625,0.0682829136432011,0.107147226812959,88.0341290647,137.182494232225,15
"16","16",28.8164267228105,33.9179544497824,27.5704235606061,35.2049766666667,12.3920859090909,17.4412255808081,43.4552551515151,49.1808453030303,45.58855,53.2827325,2.1819725,6.8570275,51.3965775,56.641405,0.0675415642475187,0.097979684549909,89.63919809835,132.260057934,16
"17","17",28.0861093851546,34.1662161198894,26.7384482828283,34.9943704040404,12.1520325,17.955572979798,42.5769039393939,49.1667680555556,45.495645,53.26895,2.1235825,6.8651275,51.151445,56.6543125,0.0632073218078517,0.11157352922396,83.06162053215,146.26542911045,17
"18","18",28.7420479792324,34.903016488983,23.9655177272727,34.1709580808081,13.0447768434343,20.1544532070707,42.1832500757576,49.0113750757576,44.8719325,52.698805,2.5109725,7.269535,50.9298475,56.5156575,0.0669603094439258,0.0943626682219711,80.499568128225,119.770634999375,18
"19","19",28.3496264575915,35.6391105347639,25.5464170959596,34.9440378030303,12.6023581060606,20.0669031565657,42.6597168939394,49.6925414393939,45.3345075,53.02981,2.3240875,7.06782,51.2665625,56.60385,0.0586784805615218,0.111259776086699,75.01371438735,145.43353230615,19
"20","20",28.6828272293229,34.1998615612252,26.8874375,35.193042979798,12.3941675757576,18.0454421212121,43.1001977777778,49.2715611111111,45.3497475,53.27624,2.1044725,6.9299525,51.19609,56.65497,0.0709174425932815,0.110806931508192,93.2283707524,145.78279935615,20
"21","21",25.0323118147247,34.3762278468201,23.9008150757576,33.3220661616162,11.2807653535354,19.2257014393939,38.7520962878788,48.3326110606061,45.01499,52.7814375,2.386385,7.1354125,50.880375,56.392605,0.0523696175411834,0.122132879064183,63.5620931013,147.93901415325,21
"22","22",29.9386767830142,34.061013389,28.5757727777778,35.7295168939394,12.6273916666667,17.3048852272727,44.7044507070707,49.5564965909091,45.7327925,53.503215,2.0917775,6.654975,51.44167,56.74912,0.0794650824973412,0.107942361634605,109.18081232075,146.62629138495,22
"23","23",27.6194676213962,33.8777569437604,26.5096646464646,34.8222192171717,11.946955530303,17.9057184848485,42.0924778787879,48.8641853787879,45.345785,53.29412,2.1663325,6.9345075,51.1308675,56.63258,0.0656262685035205,0.118982623868473,85.5426171036,153.612965351725,23
"24","24",27.9278599421802,36.0804444292623,23.7483002777778,33.84413,12.636690530303,21.5030085858586,42.0273747474747,49.2456693939394,45.11582,52.84745,2.4625625,7.18271,51.085475,56.5035475,0.0649960463097841,0.157350275918078,81.27191525315,189.6348227797,24
