"","species","x_min","draw","x_max","shape1","shape2","stretch","nu","beta_0","beta_1","maxima","breadth","area","special","idx","max_RGR","opt_breadth_low...17","opt_breadth_high...18","opt_breadth...19","B50_low","B50_high","B50","opt_breadth_low...23","opt_breadth_high...24","opt_breadth...25","x_minBT","x_maxBT","maximaBT","breadthBT","max_RGRBT","speciesn"
"1","1",-27.1155664916667,6000.5,19.6424085333333,2.37644832083333,3.30168184666667,1.38196699458333,3.38476136166667,-2.87256933681667,1.3676279693575,-3.16787915210723,46.757975025,64.5914221959959,1.38196699458333,6000.5,2.5423890376975,-16.7520228226431,9.62666071506734,26.3786835377104,16.2479771773569,42.6266607150673,26.3786835377104,-11.1748563698653,4.82847967853535,16.0033360484007,5.88443350833333,52.6424085333333,29.8321208478928,46.757975025,0.0689550648247202,1
"2","2",-27.1501666666667,6000.5,19.7509783333333,2.47977873,2.79496698,1.93802434941667,3.41346890558333,-2.58551026406667,1.13949818139167,-0.22774629649285,46.901145,90.8319634369493,1.93802434941667,18000.5,3.49277482249684,-14.7795075984848,12.2811269341751,27.0606345326599,18.2204924015152,45.2811269341751,27.0606345326599,-8.6660702979798,7.77115883501684,16.4372291329966,5.84983333333333,52.7509783333333,32.7722537035071,46.901145,0.0947315736231856,2
"3","3",-27.2902380916667,6000.5,19.6514876,2.35079524166667,2.93213992666667,1.80476204091667,3.10229040475,-2.60099091609417,1.14842307853333,-2.01847975172071,46.9417256916667,84.6788257676791,1.80476204091667,30000.5,3.21453277576325,-16.4313306441919,11.0441589622896,27.4754896064815,16.5686693558081,44.0441589622896,27.4754896064815,-10.4920828327441,6.24911297382155,16.7411958065657,5.70976190833333,52.6514876,30.9815202482793,46.9417256916667,0.0871850502213801,3
"4","4",-27.0554778083333,6000.5,19.8262702166667,2.59182536416667,2.79451844583333,2.0426390385,2.49408203125,-2.58010113047417,0.877687648893083,0.674840261930113,46.881748025,95.7033316818633,2.0426390385,42000.5,3.76038231870459,-13.7176647116162,12.7655124862795,26.4831771978956,19.2823352883838,45.7655124862795,26.4831771978956,-7.61306700244108,8.43865141658249,16.0517184190236,5.94452219166667,52.8262702166667,33.6748402619301,46.881748025,0.101989665117042,4
"5","5",-27.0114154416667,6000.5,19.5328327666667,2.78865849,3.40863967833333,1.63985310433333,2.40297510425,-2.72998268933333,1.197194546225,-0.282799105118354,46.5442482083333,76.2854828718683,1.63985310433333,54000.5,3.23380205892892,-13.3125927593434,10.9803956988215,24.292988458165,19.6874072406566,43.9803956988215,24.292988458165,-7.73723323535354,6.84648583602694,14.5837190713805,5.98858455833333,52.5328327666667,32.7172008948816,46.5442482083333,0.0877076746703188,5
"6","6",-27.1635607416667,6000.5,19.6485707916667,2.35320687666667,3.268219875,1.60401574016667,2.36937349366667,-2.77533312901667,1.19283636514333,-3.31257561279779,46.8121315333333,75.0526609868491,1.60401574016667,66000.5,2.93942199045142,-16.9538666794613,9.59459134478115,26.5484580242424,16.0461333205387,42.5945913447811,26.5484580242424,-11.3707709919192,4.75417103762626,16.1249420295455,5.83643925833333,52.6485707916667,29.6874243872022,46.8121315333333,0.0797234533713806,6
"7","7",-27.2904174333333,6000.5,19.6239637416667,2.26675093166667,3.28913196666667,1.80143624241667,3.60605148216667,-2.60125592346528,0.982613264445083,-4.25238390885354,46.914381175,84.4601752002409,1.80143624241667,78000.5,3.26838230985932,-17.9044085362795,9.00930292592593,26.9137114622054,15.0955914637205,42.0093029259259,26.9137114622054,-12.3771963758418,3.99732888299663,16.3745252588384,5.70958256666667,52.6239637416667,28.7476160911465,46.914381175,0.0886455655317114,7
"8","8",-27.0782780166667,6000.5,19.561873425,2.38769958833333,3.61535941083333,1.580123109,2.18305435958333,-2.94273922423333,1.323005064955,-4.13153412904085,46.6401514416667,73.6653366191963,1.580123109,90000.5,2.9869958156141,-17.1143914215488,8.42227800555556,25.5366694271044,15.8856085784512,41.4222780055556,25.5366694271044,-11.7967974914983,3.64944080176768,15.446238293266,5.92172198333333,52.561873425,28.8684658709591,46.6401514416667,0.0810137579429515,8
"9","9",-27.2919225333333,6000.5,19.8480356166667,2.2705402575,2.7342600025,1.7656090345,2.75533844391667,-2.456208856325,1.05706737579225,-1.82879367555029,47.13995815,83.1827192527254,1.7656090345,102000.5,3.05731437331698,-16.787813321633,11.6985810698653,28.4863943914983,16.212186678367,44.6985810698653,28.4863943914983,-10.6669799009259,6.76698189604377,17.4339617969697,5.70807746666667,52.8480356166667,31.1712063244497,47.13995815,0.0829209486336311,9
"10","10",-27.3492020083333,6000.5,19.8392705,2.21550743,2.68628401,1.79468775508333,3.1071472275,-2.55593997560167,1.4247566588025,-2.16382753677709,47.1884725083333,84.6419522481786,1.79468775508333,114000.5,3.06679155334833,-17.298601926936,11.6556265099327,28.9542284368687,15.701398073064,44.6556265099327,28.9542284368687,-11.1489452143939,6.61576928754209,17.764714501936,5.65079799166667,52.8392705,30.8361724632229,47.1884725083333,0.0831779901617874,10
"11","11",-27.1020453,6000.5,19.6569531833333,2.54121494166667,3.009076565,1.73451339916667,2.55455530425,-2.4796738641225,1.1523420367425,-0.649414973549337,46.7589984833333,81.0505677519365,1.73451339916667,126000.5,3.20745680815083,-14.6763707374579,11.5797826833333,26.2561534207912,18.3236292625421,44.5797826833333,26.2561534207912,-8.77512930580808,7.12652147609428,15.9016507819024,5.8979547,52.6569531833333,32.3505850264507,46.7589984833333,0.0869931347441746,11
"12","12",-27.4610116083333,6000.5,19.734320675,2.18303389,2.65624680916667,1.74618093633333,4.29136307166667,-1.9652994029,0.878342554756917,-2.44991739554866,47.1953322833333,82.3461520938901,1.74618093633333,138000.5,2.9622063728048,-17.6832846468013,11.5451466704545,29.2284313172559,15.3167153531987,44.5451466704545,29.2284313172559,-11.5177898090909,6.43379719208754,17.9515870011785,5.53898839166667,52.734320675,30.5500826044513,47.1953322833333,0.0803414148787947,12
"13","13",-27.3355981333333,6000.5,19.6597264166667,2.28167361083333,2.9025358775,1.8850175175,3.6226724975,-2.504546677225,1.02224586154583,-2.57556669720784,46.99532455,88.5342478152228,1.8850175175,150000.5,3.31653599377015,-17.0956870771044,10.821297535101,27.9169846122054,15.9043129228956,43.821297535101,27.9169846122054,-11.1640637267677,5.88011578644781,17.0441795132155,5.66440186666667,52.6597264166667,30.4244333027922,46.99532455,0.0899515971210497,13
"14","14",-27.5495041666667,6000.5,19.6586165416667,2.14892875,3.3358439,1.81601619875,4.28563045133333,-2.17479536056,0.648817716488158,-5.79511341453962,47.2081207083333,85.666288794271,1.81601619875,162000.5,3.26838833054124,-19.35114198367,8.00427160580808,27.3554135894781,13.64885801633,41.0042716058081,27.3554135894781,-13.9699276780303,2.71903762348485,16.6889653015152,5.45049583333333,52.6586165416667,27.2048865854604,47.2081207083333,0.0886457288255685,14
"15","15",-26.9867137416667,6000.5,19.7325044416667,2.76511711833333,3.1289535375,1.5797018105,2.137758477,-2.67840138486667,1.12001411126083,0.55077739589596,46.7192181833333,73.7594331239788,1.5797018105,174000.5,3.05774499776031,-12.9493065123737,11.9843545104377,24.9336610228114,20.0506934876263,44.9843545104377,24.9336610228114,-7.16819201010101,7.84178444705387,15.0099764571549,6.01328625833333,52.7325044416667,33.550777395896,46.7192181833333,0.0829326280957296,15
"16","16",-27.49952045,6000.5,19.499511675,2.15913764666667,3.79350961583333,1.81658699466667,5.30264014583333,-2.292250378682,0.431357572778917,-7.14803352879292,46.999032125,85.305156208412,1.81658699466667,186000.5,3.41178009031854,-19.8139297855219,6.19247726717172,26.0064070526936,13.1860702144781,39.1924772671717,26.0064070526936,-14.8006716438552,0.9955135003367,15.7961851441919,5.50047955,52.499511675,25.8519664712071,46.999032125,0.0925348220934223,16
"17","17",-27.4969712916667,6000.5,19.7127467666667,2.161984535,3.28171007083333,1.83080778041667,1.74441721558333,-2.44024627234833,0.965823655812667,-5.36476946301081,47.2097180583333,86.3902679419663,1.83080778041667,198000.5,3.28122255770117,-19.0640470008418,8.40507282390572,27.4691198247475,13.9359529991582,41.4050728239057,27.4691198247475,-13.605598051431,3.15368716018519,16.7592852116162,5.50302870833333,52.7127467666667,27.6352305369892,47.2097180583333,0.0889938207000478,17
"18","18",-27.0953227166667,6000.5,19.7826716333333,2.56779825916667,2.91650090083333,1.92443892166667,2.94504266925,-2.51768317024167,1.0517628702775,-0.0499732597841451,46.87799435,90.153839854238,1.92443892166667,210000.5,3.5507992094232,-14.221443781229,12.1119201558081,26.333363937037,18.778556218771,45.1119201558081,26.333363937037,-8.23210338560606,7.70980907558923,15.9419124611953,5.90467728333333,52.7826716333333,32.9500267402159,46.87799435,0.0963053199313216,18
"19","19",-27.3362044666667,6000.5,19.5154597833333,2.19537577916667,3.92271487416667,1.854702267,2.00625758908333,-2.64817919330833,1.03193954527167,-7.01730760158909,46.85166425,86.8542590556812,1.854702267,222000.5,3.53305081045562,-19.4730771473906,6.04957051902357,25.5226476664141,13.5269228526094,39.0495705190236,25.5226476664141,-14.5216431470539,0.952784703787879,15.4744278508418,5.66379553333333,52.5154597833333,25.9826923984109,46.85166425,0.0958239451365132,19
"20","20",-27.26298355,6000.5,19.7288886,2.3595893325,2.83793965916667,1.53673795983333,2.54163195141667,-2.45301947196833,1.30257319859167,-1.55264978708906,46.99187215,72.1847776030581,1.53673795983333,234000.5,2.72141082700012,-16.1436019920875,11.5193714440236,27.6629734361111,16.8563980079125,44.5193714440236,27.6629734361111,-10.1200145498316,6.74845178855219,16.8684663383838,5.73701645,52.7288886,31.4473502129109,46.99187215,0.0738105212097821,20
"21","21",-27.0918074583333,6000.5,19.7795699666667,2.52149254,2.993592375,1.76126610225,2.25809129366667,-2.34740306608917,0.855115404318667,-0.746059476411732,46.871377425,82.503405615467,1.76126610225,246000.5,3.24485359811764,-14.8207288350168,11.6048698675926,26.4255987026094,18.1792711649832,44.6048698675926,26.4255987026094,-8.91500382314815,7.09920379031987,16.014207613468,5.90819254166667,52.7795699666667,32.2539405235883,46.871377425,0.0880074162086404,21
"22","22",-27.62563725,6000.5,19.9515750666667,2.13878110166667,2.618780975,1.859998865,3.4777975285,-2.43473203302,1.00607992408425,-2.6887664729646,47.5772123166667,88.4652454803151,1.859998865,258000.5,3.12034902418918,-18.1648806669192,11.6592962231481,29.8241768900673,14.8351193330808,44.6592962231481,29.8241768900673,-11.9437087589226,6.42019923560606,18.3639079945286,5.37436275,52.9515750666667,30.3112335270354,47.5772123166667,0.0846305840877836,22
"23","23",-27.0651934333333,6000.5,19.904402675,2.57063389,2.60025932416667,1.40545404433333,3.84195687791667,-2.72859791415417,1.22908833325875,1.47772158943911,46.9695961083333,65.9845568544295,1.40545404433333,270000.5,2.54297401969603,-13.3937187956229,13.6219150141414,27.0156338097643,19.6062812043771,46.6219150141414,27.0156338097643,-7.06668273181818,9.35051993341751,16.4172026652357,5.93480656666667,52.904402675,34.4777215894391,46.9695961083333,0.0689709307960693,23
"24","24",-26.9810835333333,6000.5,19.5635002583333,3.013899505,3.1684579675,1.58599926841667,3.39926535841667,-3.029390091575,1.41573986990833,1.98542017053053,46.5445837916667,73.7855668544136,1.58599926841667,282000.5,3.20382536217106,-11.0533672393939,12.5459163641414,23.5992836035354,21.9466327606061,45.5459163641414,23.5992836035354,-5.3550891962963,8.76664626902357,14.1217354653199,6.01891646666667,52.5635002583333,34.9854201705305,46.5445837916667,0.0868946421101876,24
"25","25",-26.9565036333333,6000.5,19.43154405,2.5752212325,3.878671805,1.50389206025,4.22164864333333,-2.80979712989917,1.564288487975,-3.29168562702044,46.3880476833333,69.7142403006079,1.50389206025,294000.5,2.96005248537226,-15.7796161763468,8.45619358299663,24.2358097593434,17.2203838236532,41.4561935829966,24.2358097593434,-10.5642516664983,3.9992385952862,14.5634902617845,6.04349636666667,52.43154405,29.7083143729796,46.3880476833333,0.0802829968140007,25
"26","26",-27.40802825,6000.5,20.1138225083333,2.22040033416667,2.3136946875,1.93192060133333,2.34964571558333,-2.13356619181083,1.07719251290083,0.0605335630177288,47.5218507583333,91.7682830714714,1.93192060133333,306000.5,3.20329018180105,-16.2763894066498,13.9203450326599,30.1967344393098,16.7236105933502,46.9203450326599,30.1967344393098,-9.55841627920876,9.06335069065657,18.6217669698653,5.59197175,53.1138225083333,33.0605335630177,47.5218507583333,0.086880126866234,26
"27","27",-27.6450524666667,6000.5,19.971597825,2.135993785,2.35275682666667,1.88344561541667,4.751321625,-2.74788090564167,1.31754758091,-1.22413593865889,47.6166502916667,89.656527668899,1.88344561541667,318000.5,3.08170990365943,-17.561272035101,13.1796733031987,30.7409453382997,15.438727964899,46.1796733031987,30.7409453382997,-10.9471900707912,8.06522399747475,19.012414068266,5.35494753333333,52.971597825,31.7758640613411,47.6166502916667,0.0835826079435377,27
