"","mean","se_mean","sd","2.5%","25%","50%","75%","97.5%","n_eff","Rhat"
"shape1[1]",2.38,0,0.26,2.02,2.17,2.33,2.54,2.97,9742.57,1
"shape1[2]",2.48,0,0.27,2.05,2.27,2.45,2.65,3.09,7224.79,1
"shape1[3]",2.35,0,0.25,2.02,2.16,2.31,2.5,2.93,8912.56,1
"shape1[4]",2.59,0,0.35,2.05,2.33,2.55,2.81,3.38,9140.24,1
"shape1[5]",2.79,0,0.37,2.12,2.51,2.77,3.05,3.55,7375.8,1
"shape1[6]",2.35,0,0.26,2.01,2.15,2.3,2.51,2.99,12163.25,1
"shape1[7]",2.27,0,0.2,2.01,2.11,2.23,2.38,2.75,10146.46,1
"shape1[8]",2.39,0,0.26,2.02,2.18,2.35,2.55,2.98,10338.33,1
"shape1[9]",2.27,0,0.21,2.01,2.1,2.22,2.38,2.8,11735.66,1
"shape1[10]",2.22,0,0.18,2.01,2.08,2.17,2.31,2.66,10441.51,1
"shape1[11]",2.54,0,0.31,2.05,2.31,2.51,2.74,3.21,8890.04,1
"shape1[12]",2.18,0,0.16,2.01,2.06,2.14,2.26,2.57,10740.44,1
"shape1[13]",2.28,0,0.21,2.01,2.12,2.24,2.4,2.78,8666.09,1
"shape1[14]",2.15,0,0.13,2,2.05,2.11,2.21,2.5,13862.13,1
"shape1[15]",2.77,0,0.41,2.09,2.46,2.73,3.03,3.66,7832.8,1
"shape1[16]",2.16,0,0.14,2.01,2.05,2.12,2.23,2.51,14295.65,1
"shape1[17]",2.16,0,0.15,2,2.05,2.12,2.23,2.55,14392.07,1
"shape1[18]",2.57,0,0.31,2.06,2.33,2.54,2.77,3.26,7410.43,1
"shape1[19]",2.2,0,0.16,2.01,2.07,2.16,2.28,2.59,13005.08,1
"shape1[20]",2.36,0,0.27,2.02,2.15,2.31,2.51,3.01,10213.68,1
"shape1[21]",2.52,0,0.33,2.03,2.26,2.48,2.73,3.29,9142.4,1
"shape1[22]",2.14,0,0.13,2,2.04,2.1,2.19,2.49,12565.09,1
"shape1[23]",2.57,0,0.34,2.05,2.31,2.53,2.77,3.37,8157.18,1
"shape1[24]",3.01,0,0.39,2.29,2.73,3,3.28,3.82,7970.73,1
"shape1[25]",2.58,0,0.28,2.08,2.38,2.57,2.76,3.15,7115.08,1
"shape1[26]",2.22,0,0.18,2.01,2.09,2.18,2.31,2.66,11240.18,1
"shape1[27]",2.14,0,0.13,2,2.04,2.1,2.19,2.49,8998.89,1
"shape1[28]",2.31,0,0.24,2.01,2.12,2.26,2.45,2.92,11131.63,1
"shape1[29]",2.3,0,0.21,2.01,2.13,2.26,2.42,2.78,11273.13,1
"shape1[30]",2.48,0,0.29,2.04,2.25,2.44,2.65,3.14,8550.98,1
"shape1[31]",2.4,0,0.27,2.03,2.2,2.35,2.56,3.05,7863.42,1
"shape1[32]",2.3,0,0.21,2.01,2.13,2.26,2.43,2.78,10272.89,1
"shape1[33]",2.41,0,0.28,2.02,2.19,2.37,2.58,3.08,8822.02,1
"shape1[34]",2.87,0,0.38,2.17,2.6,2.86,3.12,3.64,7893.39,1
"shape1[35]",2.29,0,0.25,2.01,2.1,2.22,2.41,2.95,9539.1,1
"shape1[36]",2.4,0,0.28,2.02,2.18,2.35,2.56,3.07,8850.81,1
"shape1[37]",2.18,0,0.17,2.01,2.06,2.13,2.25,2.63,13812.7,1
