"","mean","se_mean","sd","2.5%","25%","50%","75%","97.5%","n_eff","Rhat"
"shape1[1]",3.85,0.01,0.47,3,3.52,3.83,4.16,4.86,5818.6,1
"shape1[2]",2.87,0.01,0.48,2.1,2.53,2.82,3.15,3.96,5795.48,1
"shape1[3]",2.82,0.01,0.53,2.06,2.42,2.74,3.12,4.05,6666.61,1
"shape1[4]",2.75,0.01,0.47,2.07,2.4,2.68,3.03,3.84,6323.82,1
"shape1[5]",3.09,0.01,0.43,2.33,2.79,3.07,3.36,4.01,5243.7,1
"shape1[6]",3.21,0.01,0.45,2.44,2.89,3.17,3.49,4.21,5071.17,1
"shape1[7]",3.17,0.01,0.51,2.25,2.81,3.14,3.49,4.28,5385.33,1
"shape1[8]",3.02,0.01,0.58,2.1,2.59,2.95,3.36,4.3,7015.46,1
"shape1[9]",3.29,0.01,0.62,2.25,2.85,3.24,3.67,4.67,6633.86,1
"shape1[10]",3.18,0.01,0.55,2.26,2.78,3.12,3.52,4.41,5805.55,1
"shape1[11]",3.35,0.01,0.53,2.34,2.99,3.33,3.69,4.42,5925.96,1
"shape1[12]",3.39,0.01,0.57,2.34,2.99,3.36,3.75,4.58,5580.8,1
"shape1[13]",3.28,0.01,0.48,2.41,2.95,3.25,3.58,4.3,5545.25,1
"shape2[1]",3.4,0.01,0.82,2.12,2.77,3.32,3.92,5.17,6109.6,1
"shape2[2]",4.33,0.01,0.93,2.55,3.69,4.3,4.95,6.22,5266.35,1
"shape2[3]",3.41,0.01,0.82,2.12,2.79,3.31,3.91,5.27,6298.63,1
"shape2[4]",3.06,0.01,0.7,2.07,2.51,2.94,3.47,4.7,6238.93,1
"shape2[5]",3.2,0.01,0.69,2.13,2.67,3.1,3.63,4.76,6162.85,1
"shape2[6]",2.89,0.01,0.64,2.04,2.39,2.77,3.26,4.45,5234.71,1
"shape2[7]",3.69,0.01,0.8,2.29,3.11,3.62,4.2,5.39,5689.41,1
"shape2[8]",3.09,0.01,0.75,2.06,2.51,2.97,3.54,4.86,5901.33,1
"shape2[9]",3.04,0.01,0.72,2.05,2.47,2.92,3.47,4.69,6040.46,1
"shape2[10]",3.03,0.01,0.69,2.06,2.49,2.92,3.44,4.62,5327.84,1
"shape2[11]",4.14,0.01,0.88,2.55,3.52,4.11,4.72,5.95,5947.52,1
"shape2[12]",4.09,0.01,0.92,2.39,3.45,4.05,4.7,5.97,5369.58,1
"shape2[13]",3.22,0.01,0.74,2.08,2.65,3.13,3.68,4.86,5613.86,1
"stretch[1]",0.83,0,0.12,0.62,0.75,0.83,0.91,1.09,7233.79,1
