"","mean","se_mean","sd","2.5%","25%","50%","75%","97.5%","n_eff","Rhat"
"shape1[1]",3.11,0.01,0.44,2.33,2.8,3.08,3.39,4.07,7787.19,1
"shape1[2]",2.79,0.01,0.67,2.02,2.25,2.61,3.18,4.42,7169.18,1
"shape1[3]",2.23,0,0.24,2.01,2.07,2.16,2.32,2.84,10122.95,1
"shape1[4]",2.64,0,0.4,2.05,2.34,2.59,2.88,3.55,7234.13,1
"shape1[5]",2.53,0,0.35,2.04,2.27,2.48,2.73,3.34,7842.08,1
"shape1[6]",2.5,0,0.36,2.03,2.23,2.43,2.7,3.35,9668.04,1
"shape1[7]",2.22,0,0.19,2.01,2.07,2.17,2.31,2.7,10949.22,1
"shape1[8]",3.37,0.01,0.56,2.3,2.98,3.36,3.74,4.54,7117.67,1
"shape1[9]",2.35,0,0.27,2.02,2.15,2.3,2.5,2.98,8203.87,1
"shape1[10]",2.46,0,0.31,2.03,2.23,2.42,2.64,3.18,6981.73,1
"shape1[11]",2.17,0,0.16,2.01,2.05,2.13,2.24,2.59,8947.01,1
"shape1[12]",2.39,0,0.31,2.02,2.16,2.33,2.55,3.14,10240.42,1
"shape1[13]",2.61,0,0.41,2.05,2.31,2.54,2.83,3.6,7822.57,1
"shape1[14]",3.38,0.01,0.52,2.35,3.02,3.38,3.73,4.42,5437.29,1
"shape1[15]",2.33,0,0.27,2.01,2.13,2.27,2.47,2.99,9526.51,1
"shape1[16]",2.49,0,0.33,2.03,2.24,2.44,2.68,3.26,7918.99,1
"shape1[17]",2.49,0,0.34,2.03,2.23,2.44,2.69,3.28,7672.6,1
"shape1[18]",2.73,0.01,0.47,2.07,2.38,2.66,2.99,3.85,8524.34,1
"shape2[1]",2.86,0.01,0.59,2.05,2.4,2.77,3.21,4.24,6076.22,1
"shape2[2]",3.04,0.01,0.7,2.07,2.5,2.91,3.44,4.71,7533.01,1
"shape2[3]",3.04,0.01,0.64,2.1,2.58,2.94,3.4,4.55,7286.17,1
"shape2[4]",3.02,0.01,0.64,2.08,2.53,2.92,3.4,4.53,6549.46,1
"shape2[5]",4,0.01,0.85,2.46,3.41,3.96,4.55,5.77,8803.48,1
"shape2[6]",3.09,0.01,0.68,2.09,2.57,2.99,3.5,4.66,7576.64,1
"shape2[7]",3.75,0.01,0.64,2.63,3.3,3.71,4.16,5.12,8180.6,1
"shape2[8]",3.5,0.01,0.83,2.14,2.87,3.44,4.03,5.29,7433.86,1
"shape2[9]",3.56,0.01,0.71,2.32,3.06,3.51,4.01,5.1,8362.35,1
"shape2[10]",2.87,0.01,0.56,2.07,2.45,2.78,3.2,4.18,6797.06,1
"shape2[11]",3.97,0.01,0.66,2.77,3.51,3.92,4.38,5.4,7821.42,1
"shape2[12]",3.63,0.01,0.78,2.27,3.07,3.57,4.14,5.29,8932.08,1
"shape2[13]",2.57,0.01,0.55,2.01,2.17,2.4,2.8,4.03,7692.12,1
"shape2[14]",3.75,0.01,0.85,2.24,3.12,3.7,4.31,5.53,5924.98,1
"shape2[15]",3.2,0.01,0.66,2.16,2.7,3.11,3.6,4.72,7744.85,1
"shape2[16]",3.26,0.01,0.71,2.16,2.72,3.18,3.7,4.85,8134.8,1
"shape2[17]",3.58,0.01,0.76,2.29,3.04,3.53,4.07,5.19,7124.38,1
"shape2[18]",2.78,0.01,0.59,2.03,2.33,2.66,3.1,4.21,7076.65,1
"stretch[1]",1.05,0,0.22,0.63,0.9,1.04,1.19,1.5,8006.36,1
"stretch[2]",0.97,0.01,0.46,0.27,0.63,0.9,1.24,2.01,5927.42,1
