"","mean","se_mean","sd","2.5%","25%","50%","75%","97.5%","n_eff","Rhat"
"shape1[1]",4.21,0.01,0.8,2.79,3.65,4.17,4.72,5.89,4334.47,1
"shape1[2]",4.35,0.01,0.66,3.12,3.9,4.33,4.78,5.72,5248.41,1
"shape1[3]",4.72,0.01,0.75,3.35,4.2,4.69,5.21,6.25,4944.95,1
"shape1[4]",5.34,0.01,0.58,4.23,4.95,5.33,5.73,6.52,4867.74,1
"shape1[5]",4.05,0.01,0.69,2.88,3.57,3.99,4.47,5.56,4481.13,1
"shape1[6]",4.79,0.01,0.76,3.34,4.26,4.77,5.28,6.33,5321.53,1
"shape1[7]",4.28,0.01,0.99,2.52,3.56,4.23,4.92,6.35,5411.09,1
"shape1[8]",4.68,0.01,0.85,3.15,4.08,4.64,5.23,6.5,6058.58,1
"shape1[9]",5.06,0.01,0.6,3.95,4.66,5.04,5.44,6.32,4534.99,1
"shape1[10]",5.19,0.01,0.87,3.61,4.59,5.14,5.76,6.99,5595.58,1
"shape1[11]",4.6,0.01,0.78,3.15,4.06,4.56,5.1,6.22,4573.6,1
"shape2[1]",3.93,0.02,1.02,2.21,3.16,3.86,4.6,6.13,4164.64,1
"shape2[2]",4.41,0.01,0.94,2.75,3.74,4.35,5.01,6.42,4880.54,1
"shape2[3]",4.04,0.02,1.01,2.3,3.29,3.97,4.7,6.19,4195.35,1
"shape2[4]",4.31,0.01,0.93,2.58,3.65,4.27,4.92,6.24,4819.78,1
"shape2[5]",3.66,0.01,0.92,2.18,2.97,3.58,4.24,5.68,4456.87,1
"shape2[6]",4.32,0.02,0.97,2.53,3.63,4.27,4.95,6.33,4174.67,1
"shape2[7]",3.81,0.02,1.13,2.09,2.89,3.71,4.58,6.21,3772.89,1
"shape2[8]",3.79,0.02,1.01,2.18,3.01,3.7,4.45,6.03,4379.11,1
"shape2[9]",4.58,0.01,0.91,2.92,3.95,4.54,5.16,6.5,4889.45,1
"shape2[10]",3.3,0.01,0.86,2.08,2.61,3.17,3.83,5.28,5204.47,1
"shape2[11]",4.3,0.02,1.01,2.46,3.56,4.26,4.98,6.4,4419.8,1
"stretch[1]",0.41,0,0.11,0.21,0.33,0.4,0.47,0.64,9542.45,1
"stretch[2]",1.07,0,0.22,0.68,0.92,1.05,1.2,1.57,8878.57,1
"stretch[3]",1.09,0,0.28,0.62,0.9,1.07,1.26,1.74,9833.35,1
"stretch[4]",2.27,0,0.31,1.7,2.06,2.25,2.46,2.92,7869.77,1
"stretch[5]",1.57,0,0.34,0.94,1.33,1.56,1.79,2.29,9770.28,1
"stretch[6]",0.5,0,0.12,0.29,0.42,0.49,0.57,0.77,10852.49,1
"stretch[7]",0.33,0,0.16,0.07,0.22,0.31,0.41,0.68,7762.8,1
"stretch[8]",0.77,0,0.24,0.37,0.61,0.75,0.91,1.3,10780.77,1
"stretch[9]",2.17,0,0.31,1.6,1.97,2.16,2.36,2.84,8613.92,1
"stretch[10]",0.98,0,0.31,0.48,0.77,0.95,1.16,1.67,9715.55,1
