"","mean","se_mean","sd","2.5%","25%","50%","75%","97.5%","n_eff","Rhat"
"shape1[1]",3.92,0.01,0.51,2.93,3.57,3.9,4.25,4.94,5558.51,1
"shape1[2]",4.17,0.01,0.55,3.1,3.8,4.17,4.54,5.28,6385.46,1
"shape1[3]",3.25,0.01,0.5,2.37,2.89,3.21,3.55,4.35,4873.86,1
"shape1[4]",4.21,0.01,0.49,3.3,3.87,4.2,4.53,5.21,4942.2,1
"shape1[5]",4.7,0.01,0.67,3.45,4.25,4.68,5.14,6.08,7851.64,1
"shape1[6]",4.49,0.01,0.72,3.08,4.01,4.48,4.97,5.93,8202.79,1
"shape1[7]",4.22,0.01,0.87,2.62,3.61,4.17,4.79,5.99,8215,1
"shape1[8]",3.61,0.01,0.55,2.66,3.22,3.57,3.95,4.8,5212.77,1
"shape1[9]",4.21,0.01,0.75,2.74,3.7,4.21,4.7,5.69,6523.5,1
"shape1[10]",3.36,0.01,0.63,2.27,2.91,3.31,3.75,4.71,7142.23,1
"shape1[11]",4.61,0.01,0.55,3.55,4.24,4.6,4.98,5.74,6917.74,1
"shape1[12]",5.33,0.01,0.83,3.75,4.76,5.32,5.88,7,8811.42,1
"shape1[13]",3.8,0.01,0.58,2.77,3.39,3.76,4.17,5.03,5955.42,1
"shape1[14]",5.22,0.01,0.72,3.86,4.72,5.2,5.7,6.67,6583.34,1
"shape2[1]",4.19,0.01,0.87,2.66,3.58,4.13,4.75,6.04,4234.95,1
"shape2[2]",4.6,0.01,0.88,3.02,3.99,4.55,5.17,6.46,4407.11,1
"shape2[3]",4,0.01,0.93,2.4,3.31,3.93,4.6,6,4124.32,1
"shape2[4]",4.09,0.01,0.87,2.57,3.46,4.03,4.64,5.99,3720.68,1
"shape2[5]",4.14,0.01,0.97,2.42,3.44,4.08,4.77,6.18,4252.85,1
"shape2[6]",4.42,0.01,1.03,2.52,3.68,4.4,5.11,6.55,4984.43,1
"shape2[7]",3.84,0.01,1.04,2.17,3.05,3.75,4.52,6.06,5639.87,1
"shape2[8]",3.75,0.01,0.91,2.26,3.07,3.67,4.33,5.73,4149,1
"shape2[9]",4.43,0.01,1.01,2.56,3.72,4.4,5.1,6.48,4935.1,1
"shape2[10]",5.22,0.01,0.89,3.56,4.61,5.19,5.82,7.04,4401.94,1
"shape2[11]",4.28,0.01,0.92,2.64,3.63,4.22,4.87,6.25,4746.55,1
"shape2[12]",4.68,0.01,1.03,2.76,3.95,4.65,5.39,6.75,5327.48,1
"shape2[13]",3.91,0.01,0.93,2.32,3.23,3.84,4.51,5.9,4723,1
"shape2[14]",3.91,0.01,0.94,2.3,3.23,3.84,4.53,5.94,4859.82,1
"stretch[1]",1.37,0,0.17,1.06,1.26,1.36,1.47,1.72,7066.46,1
"stretch[2]",1.34,0,0.16,1.03,1.23,1.33,1.44,1.69,7198.78,1
"stretch[3]",1.3,0,0.26,0.83,1.13,1.29,1.46,1.85,10731.02,1
