"","mean","se_mean","sd","2.5%","25%","50%","75%","97.5%","n_eff","Rhat"
"shape1[1]",2.22,0,0.18,2.01,2.09,2.18,2.31,2.66,12187.17,1
"shape1[2]",2.53,0,0.33,2.05,2.28,2.49,2.73,3.29,8511.08,1
"shape1[3]",2.17,0,0.15,2.01,2.05,2.12,2.24,2.53,14736.48,1
"shape1[4]",2.19,0,0.16,2.01,2.07,2.15,2.27,2.62,10095.93,1
"shape1[5]",2.61,0,0.34,2.05,2.35,2.58,2.83,3.32,8342.33,1
"shape1[6]",2.21,0,0.17,2.01,2.09,2.17,2.3,2.65,7307.39,1
"shape1[7]",2.09,0,0.09,2,2.03,2.06,2.12,2.33,12476.71,1
"shape1[8]",2.12,0,0.12,2,2.04,2.09,2.17,2.43,10772.11,1
"shape1[9]",2.16,0,0.15,2,2.05,2.11,2.22,2.55,12064.06,1
"shape1[10]",2.69,0,0.42,2.06,2.38,2.64,2.94,3.65,8615.27,1
"shape1[11]",2.12,0,0.12,2,2.04,2.09,2.17,2.46,11613.16,1
"shape1[12]",2.11,0,0.11,2,2.03,2.08,2.16,2.4,12888.92,1
"shape1[13]",2.29,0,0.26,2.01,2.1,2.23,2.41,2.95,12266.18,1
"shape1[14]",2.21,0,0.18,2.01,2.08,2.17,2.31,2.68,12264.01,1
"shape1[15]",2.14,0,0.14,2,2.04,2.1,2.2,2.52,11279.28,1
"shape1[16]",2.12,0,0.12,2,2.04,2.09,2.18,2.44,11067.45,1
"shape1[17]",2.15,0,0.14,2,2.05,2.11,2.2,2.53,11857.63,1
"shape1[18]",2.29,0,0.24,2.01,2.11,2.24,2.42,2.88,8757.09,1
"shape1[19]",2.21,0,0.2,2.01,2.06,2.15,2.3,2.76,10469.52,1
"shape1[20]",2.14,0,0.14,2,2.04,2.1,2.2,2.52,12448.19,1
"shape1[21]",2.23,0,0.21,2.01,2.07,2.17,2.32,2.75,11740.23,1
"shape1[22]",2.1,0,0.1,2,2.03,2.07,2.14,2.37,11574.51,1
"shape1[23]",2.15,0,0.14,2,2.04,2.1,2.21,2.53,12092.13,1
"shape1[24]",2.33,0,0.27,2.01,2.12,2.27,2.48,3.01,13152.82,1
"shape2[1]",2.34,0,0.29,2.01,2.12,2.27,2.48,3.09,11760.31,1
"shape2[2]",2.58,0,0.43,2.03,2.25,2.49,2.82,3.63,8014.77,1
"shape2[3]",3.29,0.01,0.55,2.34,2.91,3.25,3.62,4.5,10894.54,1
"shape2[4]",2.36,0,0.28,2.02,2.15,2.3,2.49,3.05,8705.67,1
"shape2[5]",3.17,0.01,0.69,2.09,2.65,3.09,3.61,4.68,8505.37,1
"shape2[6]",2.22,0,0.22,2.01,2.07,2.16,2.3,2.8,10066.88,1
"shape2[7]",2.87,0,0.36,2.26,2.62,2.84,3.08,3.67,8259.16,1
"shape2[8]",2.86,0,0.38,2.25,2.59,2.81,3.07,3.72,8646.37,1
"shape2[9]",2.52,0,0.36,2.03,2.25,2.46,2.71,3.37,8619.86,1
"shape2[10]",2.57,0,0.47,2.02,2.2,2.45,2.81,3.75,9836.91,1
"shape2[11]",2.41,0,0.3,2.03,2.19,2.35,2.56,3.14,9779.35,1
"shape2[12]",2.43,0,0.28,2.03,2.22,2.38,2.58,3.09,9818.21,1
"shape2[13]",3.26,0.01,0.66,2.16,2.78,3.2,3.67,4.69,10490.04,1
"shape2[14]",2.83,0,0.44,2.11,2.5,2.78,3.09,3.82,8094.54,1
"shape2[15]",2.67,0,0.38,2.08,2.41,2.62,2.88,3.57,7865.53,1
"shape2[16]",2.43,0,0.3,2.03,2.21,2.38,2.59,3.16,9673.19,1
"shape2[17]",2.53,0,0.35,2.04,2.27,2.47,2.72,3.38,10057.99,1
"shape2[18]",2.72,0.01,0.49,2.06,2.35,2.62,2.97,3.93,7909.2,1
"shape2[19]",2.53,0,0.4,2.03,2.23,2.45,2.73,3.5,10506.7,1
"shape2[20]",2.46,0,0.33,2.03,2.22,2.4,2.63,3.29,10341.95,1
"shape2[21]",3.14,0.01,0.6,2.16,2.71,3.08,3.5,4.46,10144.68,1
"shape2[22]",2.3,0,0.23,2.02,2.14,2.26,2.41,2.86,10375.11,1
"shape2[23]",2.6,0,0.38,2.05,2.32,2.54,2.81,3.51,8815.21,1
"shape2[24]",2.77,0,0.49,2.07,2.41,2.69,3.04,3.93,10954.17,1
"stretch[1]",2.47,0,0.39,1.68,2.21,2.48,2.73,3.23,10566.61,1
"stretch[2]",2.43,0,0.31,1.76,2.23,2.44,2.63,3.04,9102.06,1
"stretch[3]",2.23,0,0.34,1.53,2.03,2.24,2.44,2.9,8632.08,1
"stretch[4]",2.77,0,0.26,2.25,2.62,2.78,2.94,3.27,9864.13,1
"stretch[5]",2.38,0,0.38,1.6,2.14,2.38,2.62,3.12,9226.46,1
"stretch[6]",2.45,0,0.18,2.08,2.34,2.46,2.57,2.81,6950.19,1
"stretch[7]",2.27,0,0.21,1.83,2.15,2.27,2.41,2.7,8531.35,1
"stretch[8]",2.23,0,0.17,1.9,2.13,2.24,2.34,2.57,7142.86,1
"stretch[9]",2.28,0,0.28,1.69,2.11,2.29,2.46,2.82,10025.46,1
"stretch[10]",2.07,0,0.3,1.42,1.9,2.08,2.26,2.67,8379.05,1
"stretch[11]",2.61,0,0.29,2.01,2.44,2.62,2.79,3.18,9503.67,1
