"","species","dayTemp","family","n"
"1","bic",15,234,2
"2","bic",15,235,2
"3","bic",15,236,2
"4","bic",15,238,2
"5","bic",15,239,1
"6","bic",15,240,2
"7","bic",15,242,2
"8","bic",15,243,1
"9","bic",15,244,2
"10","bic",15,245,2
"11","bic",15,246,2
"12","bic",15,247,1
"13","bic",15,248,2
"14","bic",15,249,2
"15","bic",15,250,2
"16","bic",15,251,2
"17","bic",15,252,2
"18","bic",15,253,2
"19","bic",15,254,2
"20","bic",15,255,2
"21","bic",15,256,2
"22","bic",15,257,2
"23","bic",15,258,1
"24","bic",20,234,2
"25","bic",20,235,1
"26","bic",20,236,2
"27","bic",20,238,2
"28","bic",20,239,2
"29","bic",20,240,2
"30","bic",20,242,2
"31","bic",20,243,1
"32","bic",20,244,2
"33","bic",20,245,2
"34","bic",20,246,2
"35","bic",20,247,2
"36","bic",20,248,2
"37","bic",20,249,2
"38","bic",20,250,2
"39","bic",20,251,2
"40","bic",20,252,2
"41","bic",20,253,2
"42","bic",20,254,2
"43","bic",20,255,2
"44","bic",20,256,2
"45","bic",20,257,2
"46","bic",20,258,2
"47","bic",25,234,2
"48","bic",25,235,2
"49","bic",25,236,2
"50","bic",25,239,2
"51","bic",25,240,1
"52","bic",25,242,2
"53","bic",25,243,2
"54","bic",25,244,2
"55","bic",25,245,2
"56","bic",25,246,2
"57","bic",25,247,2
"58","bic",25,248,1
"59","bic",25,249,2
"60","bic",25,250,2
"61","bic",25,251,2
"62","bic",25,252,2
"63","bic",25,253,2
"64","bic",25,254,2
"65","bic",25,255,1
"66","bic",25,256,2
"67","bic",25,257,2
"68","bic",25,258,2
"69","bic",30,234,2
"70","bic",30,235,1
"71","bic",30,236,2
"72","bic",30,238,1
"73","bic",30,239,2
"74","bic",30,240,2
"75","bic",30,242,2
"76","bic",30,244,2
"77","bic",30,245,2
"78","bic",30,246,2
"79","bic",30,247,2
"80","bic",30,248,2
"81","bic",30,249,2
"82","bic",30,250,2
"83","bic",30,252,2
"84","bic",30,253,2
"85","bic",30,254,1
"86","bic",30,256,2
"87","bic",30,257,2
"88","bic",30,258,2
"89","bic",35,234,2
"90","bic",35,235,2
"91","bic",35,236,2
"92","bic",35,238,2
"93","bic",35,239,1
"94","bic",35,240,2
"95","bic",35,242,2
"96","bic",35,243,1
"97","bic",35,244,1
"98","bic",35,245,2
"99","bic",35,246,2
"100","bic",35,247,1
"101","bic",35,248,1
"102","bic",35,249,2
"103","bic",35,250,2
