"","species","family","dayTemp","nightTemp","stemLen1","leafNum1","stemLen2","leafNum2","rgrStem","rgrLeaf","familyI","RGR","dayTempc","RGRs"
"1","bic",234,15,0,1,4,1.1,4,0.014285714,0,1,0.014285714,-18,0.123061042547697
"2","bic",234,15,0,1.5,2,1.5,4,0,0.142857143,1,0,-18,0
"3","bic",234,20,5,1.4,4,1.9,4,0.051020408,0,1,0.051020408,-13,0.439503730768295
"4","bic",234,20,5,0.8,2,1.1,2,0.053571429,0,1,0.053571429,-13,0.461478922475274
"5","bic",234,25,10,1.4,2,1.4,4,0,0.142857143,1,0,-8,0
"6","bic",234,25,10,1.3,4,2.4,8,0.120879121,0.142857143,1,0.120879121,-8,1.04128576650136
"7","bic",234,30,15,0.9,4,2.8,8,0.301587302,0.142857143,1,0.301587302,-3,2.59795539818781
"8","bic",234,30,15,0.5,2,1,2,0.142857143,0,1,0.142857143,-3,1.23061045131979
"9","bic",234,35,20,0.7,2,1.2,4,0.102040816,0.142857143,1,0.102040816,2,0.879007461536591
"10","bic",234,35,20,0.8,2,1.2,4,0.071428571,0.142857143,1,0.071428571,2,0.615305221352759
"11","bic",234,40,25,0.8,2,0.9,2,0.017857143,0,1,0.017857143,7,0.153826307491758
"12","bic",234,40,25,0.4,2,0.4,4,0,0.142857143,1,0,7,0
"13","bic",234,45,30,0.7,2,1.6,4,0.183673469,0.142857143,1,0.183673469,12,1.58221343248872
"14","bic",234,45,30,1.2,4,2.4,4,0.142857143,0,1,0.142857143,12,1.23061045131979
"15","bic",234,50,35,1.5,2,0,0,0,0,1,0,17,0
"16","bic",234,50,35,1.4,2,0,0,0,0,1,0,17,0
"17","bic",235,15,0,1.3,4,1.6,4,0.032967033,0,2,0.032967033,-18,0.283987027227644
"18","bic",235,15,0,0.6,4,0.7,4,0.023809524,0,2,0.023809524,-18,0.205101743322344
"19","bic",235,20,5,0.3,2,0.3,2,0,0,2,0,-13,0
"20","bic",235,25,10,0.5,4,0.9,6,0.114285714,0.071428571,2,0.114285714,-8,0.984488357610123
"21","bic",235,25,10,0.7,2,0.7,4,0,0.142857143,2,0,-8,0
"22","bic",235,30,15,1.4,6,3.7,8,0.234693878,0.047619048,2,0.234693878,-3,2.02171717187129
"23","bic",235,35,20,1,4,2.7,6,0.242857143,0.071428571,2,0.242857143,2,2.09203776638222
"24","bic",235,35,20,1.2,6,4,8,0.333333333,0.047619048,2,0.333333333,2,2.87142438067
"25","bic",235,40,25,0.9,4,3.6,6,0.428571429,0.071428571,2,0.428571429,7,3.69183135395937
"26","bic",235,45,30,0.6,2,0.6,2,0,0,2,0,12,0
"27","bic",235,45,30,0.8,4,2.4,6,0.285714286,0.071428571,2,0.285714286,12,2.46122090263958
"28","bic",235,50,35,0.9,4,1.5,4,0.095238095,0,2,0.095238095,17,0.820406964675103
"29","bic",235,50,35,1.2,4,1.9,4,0.083333333,0,2,0.083333333,17,0.717856093013931
"30","bic",236,15,0,0.7,4,0.8,4,0.020408163,0,3,0.020408163,-18,0.175801490584463
"31","bic",236,15,0,0.9,4,1,4,0.015873016,0,3,0.015873016,-18,0.136734495548229
"32","bic",236,20,5,0.8,2,0.8,4,0,0.142857143,3,0,-13,0
"33","bic",236,20,5,0.4,2,0.4,2,0,0,3,0,-13,0
"34","bic",236,25,10,0.5,4,1,6,0.142857143,0.071428571,3,0.142857143,-8,1.23061045131979
"35","bic",236,25,10,0.6,2,0.7,4,0.023809524,0.142857143,3,0.023809524,-8,0.205101743322344
"36","bic",236,30,15,1.1,4,2.2,6,0.142857143,0.071428571,3,0.142857143,-3,1.23061045131979
"37","bic",236,30,15,0.7,4,1.1,6,0.081632653,0.071428571,3,0.081632653,-3,0.703205970952127
"38","bic",236,35,20,0.9,4,4.2,6,0.523809524,0.071428571,3,0.523809524,2,4.51223831863448
"39","bic",236,35,20,0.9,4,4.4,6,0.555555556,0.071428571,3,0.555555556,2,4.78570730973093
"40","bic",236,40,25,0.5,2,0.6,2,0.028571429,0,3,0.028571429,7,0.246122093709667
"41","bic",236,40,25,0.7,4,3,4,0.469387755,0,3,0.469387755,7,4.0434343351283
"42","bic",236,45,30,0.5,2,1.8,6,0.371428571,0.285714286,3,0.371428571,12,3.19958716654004
"43","bic",236,45,30,0.5,2,0.6,2,0.028571429,0,3,0.028571429,12,0.246122093709667
"44","bic",236,50,35,0.7,4,1.5,4,0.163265306,0,3,0.163265306,17,1.40641194190425
"45","bic",236,50,35,1.1,4,0,0,0,0,3,0,17,0
"46","bic",238,15,0,1.3,4,1.6,4,0.032967033,0,4,0.032967033,-18,0.283987027227644
"47","bic",238,15,0,0.4,2,0.5,2,0.035714286,0,4,0.035714286,-18,0.307652614983516
"48","bic",238,20,5,0.3,2,0.4,2,0.047619048,0,4,0.047619048,-13,0.410203486644688
"49","bic",238,20,5,0.6,2,0.6,2,0,0,4,0,-13,0
"50","bic",238,30,15,0.7,4,1.7,6,0.204081633,0.071428571,4,0.204081633,-3,1.75801493168745
"51","bic",238,35,20,0.5,4,1.5,6,0.285714286,0.071428571,4,0.285714286,2,2.46122090263958
"52","bic",238,35,20,0.3,2,0.6,2,0.142857143,0,4,0.142857143,2,1.23061045131979
"53","bic",238,40,25,0.8,2,1.8,4,0.178571429,0.142857143,4,0.178571429,7,1.53826306630331
"54","bic",238,45,30,0.7,2,0.7,2,0,0,4,0,12,0
"55","bic",238,50,35,0.8,4,1.7,6,0.160714286,0.071428571,4,0.160714286,17,1.38443675881155
"56","bic",239,15,0,0.9,4,1,4,0.015873016,0,5,0.015873016,-18,0.136734495548229
"57","bic",239,20,5,0.8,2,0.8,4,0,0.142857143,5,0,-13,0
"58","bic",239,20,5,0.8,4,1.4,6,0.107142857,0.071428571,5,0.107142857,-13,0.922957836336275
"59","bic",239,25,10,1.2,4,3.8,8,0.30952381,0.142857143,5,0.30952381,-8,2.66632264596193
"60","bic",239,25,10,1.3,4,3.4,6,0.230769231,0.071428571,5,0.230769231,-8,1.98790919059351
"61","bic",239,30,15,0.4,2,0.6,2,0.071428571,0,5,0.071428571,-3,0.615305221352759
"62","bic",239,30,15,0.8,4,3,6,0.392857143,0.071428571,5,0.392857143,-3,3.38417873897586
"63","bic",239,35,20,0.6,4,2.4,6,0.428571429,0.071428571,5,0.428571429,2,3.69183135395937
"64","bic",239,40,25,0.4,2,1.4,4,0.357142857,0.142857143,5,0.357142857,7,3.07652612399234
"65","bic",239,40,25,0.4,2,0.4,2,0,0,5,0,7,0
"66","bic",239,45,30,0.9,4,2.4,6,0.238095238,0.071428571,5,0.238095238,12,2.05101741599489
"67","bic",239,45,30,1.2,4,3.9,6,0.321428571,0.071428571,5,0.321428571,12,2.76887350900882
"68","bic",239,50,35,1.2,4,1.3,6,0.011904762,0.071428571,5,0.011904762,17,0.102550871661172
"69","bic",239,50,35,0.8,4,0,0,0,0,5,0,17,0
"70","bic",240,15,0,0.6,2,0.8,2,0.047619048,0,6,0.047619048,-18,0.410203486644688
"71","bic",240,15,0,0.5,2,0.7,4,0.057142857,0.142857143,6,0.057142857,-18,0.492244178805062
"72","bic",240,20,5,0.2,2,0.3,2,0.071428571,0,6,0.071428571,-13,0.615305221352759
"73","bic",240,20,5,0.5,4,0.9,6,0.114285714,0.071428571,6,0.114285714,-13,0.984488357610123
"74","bic",240,25,10,1,6,2.6,6,0.228571429,0,6,0.228571429,-8,1.96897672383452
"75","bic",240,30,15,0.3,2,0.6,2,0.142857143,0,6,0.142857143,-3,1.23061045131979
"76","bic",240,30,15,0.3,2,0.5,2,0.095238095,0,6,0.095238095,-3,0.820406964675103
"77","bic",240,35,20,0.7,6,3.2,8,0.510204082,0.047619048,6,0.510204082,2,4.3950373249115
"78","bic",240,35,20,0.5,2,0.5,4,0,0.142857143,6,0,2,0
"79","bic",240,40,25,0.5,4,1.8,6,0.371428571,0.071428571,6,0.371428571,7,3.19958716654004
"80","bic",240,40,25,0.7,4,4,6,0.673469388,0.071428571,6,0.673469388,7,5.80144926681575
"81","bic",240,45,30,0.2,2,0.2,2,0,0,6,0,12,0
"82","bic",240,50,35,0.6,2,0.9,2,0.071428571,0,6,0.071428571,17,0.615305221352759
"83","bic",240,50,35,0.7,4,1.5,6,0.163265306,0.071428571,6,0.163265306,17,1.40641194190425
"84","bic",242,15,0,0.8,4,1.1,4,0.053571429,0,7,0.053571429,-18,0.461478922475274
"85","bic",242,15,0,1,4,1.3,6,0.042857143,0.071428571,7,0.042857143,-18,0.369183136257364
"86","bic",242,20,5,0.8,4,1.4,6,0.107142857,0.071428571,7,0.107142857,-13,0.922957836336275
"87","bic",242,20,5,0.6,2,0.6,4,0,0.142857143,7,0,-13,0
"88","bic",242,25,10,1.1,6,3.9,8,0.363636364,0.047619048,7,0.363636364,-8,3.13246296699583
"89","bic",242,25,10,0.6,2,0.7,4,0.023809524,0.142857143,7,0.023809524,-8,0.205101743322344
"90","bic",242,30,15,1.4,6,4.2,8,0.285714286,0.047619048,7,0.285714286,-3,2.46122090263958
