"","species","family","familyI"
"1","bic",234,1
"2","bic",235,2
"3","bic",236,3
"4","bic",238,4
"5","bic",239,5
"6","bic",240,6
"7","bic",242,7
"8","bic",243,8
"9","bic",244,9
"10","bic",245,10
"11","bic",246,11
"12","bic",247,12
"13","bic",248,13
"14","bic",249,14
"15","bic",250,15
"16","bic",251,16
"17","bic",252,17
"18","bic",253,18
"19","bic",254,19
"20","bic",255,20
"21","bic",256,21
"22","bic",257,22
"23","bic",258,23
"24","car",1,1
"25","car",2,2
"26","car",3,3
"27","car",4,4
"28","car",5,5
"29","car",6,6
"30","car",7,7
"31","car",8,8
"32","car",9,9
"33","car",10,10
"34","car",11,11
"35","car",12,12
"36","car",13,13
"37","car",14,14
"38","car",15,15
"39","car",16,16
"40","car",17,17
"41","car",18,18
"42","car",19,19
"43","car",20,20
"44","car",21,21
"45","car",22,22
"46","eas",83,1
"47","eas",84,2
"48","eas",85,3
"49","eas",86,4
"50","eas",87,5
"51","eas",88,6
"52","eas",89,7
"53","eas",90,8
"54","eas",91,9
"55","eas",92,10
"56","eas",93,11
"57","eas",94,12
"58","eas",95,13
"59","eas",96,14
"60","eas",97,15
"61","eas",98,16
"62","eas",99,17
"63","eas",100,18
"64","eas",101,19
"65","eas",102,20
"66","eas",103,21
"67","eas",104,22
"68","eas",105,23
"69","eas",106,24
"70","eas",107,25
"71","eas",108,26
"72","eas",109,27
"73","eas",110,28
"74","eas",111,29
"75","eas",112,30
"76","eas",113,31
"77","eas",114,32
"78","eas",115,33
"79","eas",116,34
"80","eas",117,35
"81","eas",118,36
"82","eas",119,37
"83","eas",120,38
"84","eas",121,39
"85","eas",122,40
"86","eas",123,41
"87","eas",124,42
"88","fil",259,1
"89","fil",260,2
"90","fil",261,3
"91","fil",262,4
"92","fil",263,5
"93","fil",264,6
"94","fil",265,7
"95","fil",266,8
"96","fil",267,9
"97","fil",268,10
"98","fil",269,11
"99","fil",270,12
"100","fil",271,13
"101","flo",150,1
"102","flo",152,2
"103","flo",155,3
"104","flo",159,4
"105","flo",161,5
"106","flo",162,6
"107","flo",163,7
"108","flo",164,8
"109","flo",168,9
"110","flo",171,10
"111","flo",172,11
"112","flo",175,12
"113","flo",177,13
"114","flo",181,14
"115","flo",183,15
"116","flo",184,16
"117","flo",188,17
"118","flo",191,18
"119","gut",272,1
"120","gut",273,2
"121","gut",275,3
"122","gut",277,4
"123","gut",279,5
"124","gut",281,6
"125","gut",283,7
"126","gut",284,8
"127","gut",289,9
"128","gut",291,10
"129","gut",292,11
"130","lac",293,1
"131","lac",294,2
"132","lac",295,3
"133","lac",296,4
"134","lac",297,5
"135","lac",298,6
"136","lac",299,7
"137","lac",300,8
"138","lac",301,9
"139","lac",302,10
"140","lac",303,11
"141","lac",304,12
"142","lac",305,13
"143","lac",306,14
"144","nor",192,1
"145","nor",195,2
"146","nor",198,3
"147","nor",200,4
"148","nor",201,5
"149","nor",202,6
"150","nor",207,7
"151","nor",208,8
"152","nor",210,9
"153","nor",211,10
"154","nor",213,11
"155","nor",219,12
"156","nor",220,13
"157","nor",223,14
"158","nor",224,15
"159","nor",227,16
"160","nor",229,17
"161","nor",233,18
"162","par",24,1
"163","par",26,2
"164","par",27,3
"165","par",28,4
"166","par",30,5
"167","par",31,6
"168","par",33,7
"169","par",34,8
"170","par",35,9
"171","par",36,10
"172","par",38,11
"173","par",39,12
"174","par",40,13
"175","par",41,14
"176","par",42,15
"177","par",43,16
"178","par",44,17
"179","par",45,18
"180","par",46,19
"181","par",47,20
"182","par",49,21
"183","par",50,22
"184","par",51,23
"185","par",52,24
"186","par",54,25
"187","par",55,26
"188","par",56,27
"189","par",57,28
"190","par",58,29
"191","par",59,30
"192","par",60,31
"193","par",62,32
"194","par",63,33
"195","par",64,34
"196","par",65,35
"197","par",67,36
"198","par",68,37
"199","par",69,38
"200","par",70,39
"201","par",71,40
"202","par",72,41
"203","par",73,42
"204","par",74,43
"205","par",75,44
"206","par",76,45
"207","par",77,46
"208","par",78,47
"209","par",80,48
"210","par",81,49
"211","par",82,50
"212","ver",126,1
"213","ver",127,2
"214","ver",128,3
"215","ver",129,4
"216","ver",130,5
"217","ver",131,6
"218","ver",132,7
"219","ver",133,8
"220","ver",134,9
"221","ver",135,10
"222","ver",136,11
"223","ver",137,12
"224","ver",138,13
"225","ver",139,14
"226","ver",140,15
"227","ver",141,16
"228","ver",142,17
"229","ver",143,18
"230","ver",144,19
"231","ver",145,20
"232","ver",146,21
"233","ver",147,22
"234","ver",148,23
"235","ver",149,24
