species,family,dayTemp,nightTemp,stemLen1,leafNum1,stemLen2,leafNum2,rgrStem,rgrLeaf
bic,234,15,0,1,4,1.1,4,0.014285714,0
bic,234,15,0,1.5,2,1.5,4,0,0.142857143
bic,234,20,5,1.4,4,1.9,4,0.051020408,0
bic,234,20,5,0.8,2,1.1,2,0.053571429,0
bic,234,25,10,1.4,2,1.4,4,0,0.142857143
bic,234,25,10,1.3,4,2.4,8,0.120879121,0.142857143
bic,234,30,15,0.9,4,2.8,8,0.301587302,0.142857143
bic,234,30,15,0.5,2,1,2,0.142857143,0
bic,234,35,20,0.7,2,1.2,4,0.102040816,0.142857143
bic,234,35,20,0.8,2,1.2,4,0.071428571,0.142857143
bic,234,40,25,0.8,2,0.9,2,0.017857143,0
bic,234,40,25,0.4,2,0.4,4,0,0.142857143
bic,234,45,30,0.7,2,1.6,4,0.183673469,0.142857143
bic,234,45,30,1.2,4,2.4,4,0.142857143,0
bic,234,50,35,1.5,2,0,0,0,0
bic,234,50,35,1.4,2,0,0,0,0
bic,235,15,0,1.3,4,1.6,4,0.032967033,0
bic,235,15,0,0.6,4,0.7,4,0.023809524,0
bic,235,20,5,0.3,2,0.3,2,0,0
bic,235,25,10,0.5,4,0.9,6,0.114285714,0.071428571
bic,235,25,10,0.7,2,0.7,4,0,0.142857143
bic,235,30,15,1.4,6,3.7,8,0.234693878,0.047619048
bic,235,35,20,1,4,2.7,6,0.242857143,0.071428571
bic,235,35,20,1.2,6,4,8,0.333333333,0.047619048
bic,235,40,25,0.9,4,3.6,6,0.428571429,0.071428571
bic,235,45,30,0.6,2,0.6,2,0,0
bic,235,45,30,0.8,4,2.4,6,0.285714286,0.071428571
bic,235,50,35,0.9,4,1.5,4,0.095238095,0
bic,235,50,35,1.2,4,1.9,4,0.083333333,0
bic,236,15,0,0.7,4,0.8,4,0.020408163,0
bic,236,15,0,0.9,4,1,4,0.015873016,0
bic,236,20,5,0.8,2,0.8,4,0,0.142857143
bic,236,20,5,0.4,2,0.4,2,0,0
bic,236,25,10,0.5,4,1,6,0.142857143,0.071428571
bic,236,25,10,0.6,2,0.7,4,0.023809524,0.142857143
bic,236,30,15,1.1,4,2.2,6,0.142857143,0.071428571
bic,236,30,15,0.7,4,1.1,6,0.081632653,0.071428571
bic,236,35,20,0.9,4,4.2,6,0.523809524,0.071428571
bic,236,35,20,0.9,4,4.4,6,0.555555556,0.071428571
bic,236,40,25,0.5,2,0.6,2,0.028571429,0
bic,236,40,25,0.7,4,3,4,0.469387755,0
bic,236,45,30,0.5,2,1.8,6,0.371428571,0.285714286
bic,236,45,30,0.5,2,0.6,2,0.028571429,0
bic,236,50,35,0.7,4,1.5,4,0.163265306,0
bic,236,50,35,1.1,4,0,0,0,0
bic,238,15,0,1.3,4,1.6,4,0.032967033,0
bic,238,15,0,0.4,2,0.5,2,0.035714286,0
bic,238,20,5,0.3,2,0.4,2,0.047619048,0
bic,238,20,5,0.6,2,0.6,2,0,0
bic,238,30,15,0.7,4,1.7,6,0.204081633,0.071428571
bic,238,35,20,0.5,4,1.5,6,0.285714286,0.071428571
